time,Potential Energy (kJ/mole)
0.000000,-384510.562500
10.000000,-339481.625000
20.000000,-340898.687500
30.000000,-338575.968750
40.000000,-340433.593750
50.000000,-340593.437500
60.000000,-339434.687500
70.000000,-339070.625000
80.000000,-339335.781250
90.000000,-338886.500000
100.000000,-340450.531250
110.000000,-339568.875000
120.000000,-340123.468750
130.000000,-340592.718750
140.000000,-339483.593750
150.000000,-340874.125000
160.000000,-339296.125000
170.000000,-339136.781250
180.000000,-339555.906250
190.000000,-340595.812500
200.000000,-339076.625000
210.000000,-340635.125000
220.000000,-340269.187500
230.000000,-339684.500000
240.000000,-339970.875000
250.000000,-340551.843750
260.000000,-339636.625000
270.000000,-340038.437500
280.000000,-340269.687500
290.000000,-339717.031250
300.000000,-340900.406250
310.000000,-339136.750000
320.000000,-340120.406250
330.000000,-339683.000000
340.000000,-338321.375000
350.000000,-339058.750000
360.000000,-339389.062500
370.000000,-341442.062500
380.000000,-339085.968750
390.000000,-341023.093750
400.000000,-338804.500000
410.000000,-339552.562500
420.000000,-340857.812500
430.000000,-340781.781250
440.000000,-339903.906250
450.000000,-339213.687500
460.000000,-340125.625000
470.000000,-338675.156250
480.000000,-341485.062500
490.000000,-340848.906250
500.000000,-340837.312500
510.000000,-341354.781250
520.000000,-341241.093750
530.000000,-341192.781250
540.000000,-340697.031250
550.000000,-340609.031250
560.000000,-338492.312500
570.000000,-339336.843750
580.000000,-340267.218750
590.000000,-340199.437500
600.000000,-340031.125000
610.000000,-341029.031250
620.000000,-339158.437500
630.000000,-338985.531250
640.000000,-338765.718750
650.000000,-338846.687500
660.000000,-341326.343750
670.000000,-339046.500000
680.000000,-341202.156250
690.000000,-339706.687500
700.000000,-341594.593750
710.000000,-341681.312500
720.000000,-339579.218750
730.000000,-340920.187500
740.000000,-339631.062500
750.000000,-339359.625000
760.000000,-340696.312500
770.000000,-339863.687500
780.000000,-339229.562500
790.000000,-340159.593750
800.000000,-341838.562500
810.000000,-340305.312500
820.000000,-339639.468750
830.000000,-340488.500000
840.000000,-340347.687500
850.000000,-340062.718750
860.000000,-339158.937500
870.000000,-339897.187500
880.000000,-339452.218750
890.000000,-340903.125000
900.000000,-339912.968750
910.000000,-339156.687500
920.000000,-340136.281250
930.000000,-341391.000000
940.000000,-340470.500000
950.000000,-339314.562500
960.000000,-339603.250000
970.000000,-340916.125000
980.000000,-340191.750000
990.000000,-340132.093750
1000.000000,-340305.531250
1010.000000,-340375.531250
1020.000000,-338700.687500
1030.000000,-340198.375000
1040.000000,-340137.468750
1050.000000,-340689.000000
1060.000000,-340368.687500
1070.000000,-338840.750000
1080.000000,-341090.562500
1090.000000,-340634.000000
1100.000000,-339710.375000
1110.000000,-340141.156250
1120.000000,-340344.218750
1130.000000,-339556.906250
1140.000000,-339901.437500
1150.000000,-339420.250000
1160.000000,-339674.687500
1170.000000,-339418.750000
1180.000000,-339692.156250
1190.000000,-338838.156250
1200.000000,-339163.937500
1210.000000,-339761.718750
1220.000000,-340210.687500
1230.000000,-339045.687500
1240.000000,-340985.312500
1250.000000,-339891.812500
1260.000000,-339006.593750
1270.000000,-339364.375000
1280.000000,-340713.781250
1290.000000,-340162.312500
1300.000000,-338665.718750
1310.000000,-339714.625000
1320.000000,-340562.500000
1330.000000,-341281.656250
1340.000000,-340611.875000
1350.000000,-340818.281250
1360.000000,-339167.343750
1370.000000,-339285.875000
1380.000000,-338889.625000
1390.000000,-340398.812500
1400.000000,-338998.500000
1410.000000,-338287.031250
1420.000000,-340042.625000
1430.000000,-338954.906250
1440.000000,-339637.812500
1450.000000,-341065.968750
1460.000000,-340180.593750
1470.000000,-339627.906250
1480.000000,-339812.593750
1490.000000,-338354.250000
1500.000000,-339737.468750
1510.000000,-340832.718750
1520.000000,-339988.437500
1530.000000,-340226.468750
1540.000000,-337481.375000
1550.000000,-340530.593750
1560.000000,-340832.125000
1570.000000,-339479.906250
1580.000000,-340040.437500
1590.000000,-339933.875000
1600.000000,-340062.468750
1610.000000,-339223.281250
1620.000000,-339615.593750
1630.000000,-341788.375000
1640.000000,-339909.406250
1650.000000,-338914.218750
1660.000000,-339527.437500
1670.000000,-339726.968750
1680.000000,-340589.250000
1690.000000,-339800.125000
1700.000000,-341229.000000
1710.000000,-340617.031250
1720.000000,-339329.625000
1730.000000,-339426.718750
1740.000000,-338654.343750
1750.000000,-338536.375000
1760.000000,-339384.968750
1770.000000,-339299.750000
1780.000000,-340217.281250
1790.000000,-340510.000000
1800.000000,-338783.156250
1810.000000,-339612.781250
1820.000000,-339404.281250
1830.000000,-338506.687500
1840.000000,-338933.656250
1850.000000,-340400.437500
1860.000000,-340104.062500
1870.000000,-340456.687500
1880.000000,-340360.812500
1890.000000,-340429.343750
1900.000000,-340869.875000
1910.000000,-338942.437500
1920.000000,-340213.125000
1930.000000,-340929.156250
1940.000000,-339048.218750
1950.000000,-340744.062500
1960.000000,-340110.031250
1970.000000,-339794.000000
1980.000000,-339504.187500
1990.000000,-339973.000000
2000.000000,-340596.406250
2010.000000,-340386.875000
2020.000000,-339868.875000
2030.000000,-339281.812500
2040.000000,-340372.531250
2050.000000,-340081.406250
2060.000000,-339392.062500
2070.000000,-339735.375000
2080.000000,-339193.906250
2090.000000,-339072.906250
2100.000000,-340384.687500
2110.000000,-339599.781250
2120.000000,-340502.125000
2130.000000,-339716.562500
2140.000000,-340109.562500
2150.000000,-340648.687500
2160.000000,-338932.406250
2170.000000,-338913.218750
2180.000000,-339578.218750
2190.000000,-338761.843750
2200.000000,-339840.968750
2210.000000,-339883.156250
2220.000000,-339626.906250
2230.000000,-340295.062500
2240.000000,-339295.812500
2250.000000,-339468.218750
2260.000000,-339395.375000
2270.000000,-340658.125000
2280.000000,-341802.093750
2290.000000,-339201.718750
2300.000000,-339286.125000
2310.000000,-339328.187500
2320.000000,-339787.531250
2330.000000,-340379.062500
2340.000000,-340050.156250
2350.000000,-340386.062500
2360.000000,-340601.281250
2370.000000,-338573.625000
2380.000000,-339103.062500
2390.000000,-339633.750000
2400.000000,-338532.437500
2410.000000,-339702.656250
2420.000000,-339728.000000
2430.000000,-339279.968750
2440.000000,-338693.750000
2450.000000,-339461.656250
2460.000000,-339410.375000
