#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,302.83671441974036,0,--
20.0%,500000,301.6656637581961,464,24:51
30.0%,750000,303.0726443181848,463,21:46
40.0%,1000000,300.75148988939594,462,18:41
50.0%,1250000,303.4070244944424,462,15:34
60.0%,1500000,298.6701827224531,463,12:26
70.0%,1750000,303.1358791606576,463,9:19
80.0%,2000000,302.066437093982,463,6:13
90.0%,2250000,301.40713394587937,463,3:06
100.0%,2500000,301.4776779201466,463,0:00
