#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.6546616992731,0,--
20.0%,500000,302.5557138244767,417,27:38
30.0%,750000,301.51387274462223,400,25:11
40.0%,1000000,301.093134062921,403,21:27
50.0%,1250000,301.0846987648555,409,17:36
60.0%,1500000,300.8133224935683,412,13:58
70.0%,1750000,301.38220974994215,414,10:26
80.0%,2000000,302.38696661103097,415,6:56
90.0%,2250000,300.41007421074676,416,3:27
100.0%,2500000,301.94992466950094,416,0:00
