#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.33375168460094,0,--
20.0%,500000,298.58024518112785,410,28:06
30.0%,750000,303.26521192998234,410,24:35
40.0%,1000000,299.12908449630936,411,21:01
50.0%,1250000,300.7285260037125,411,17:30
60.0%,1500000,299.8097636006977,410,14:01
70.0%,1750000,303.7476971173586,410,10:32
80.0%,2000000,299.8710761272981,409,7:02
90.0%,2250000,302.5968995464914,408,3:31
100.0%,2500000,304.2681748050556,407,0:00
