#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,298.4083244946509,0,--
20.0%,500000,303.7014280216291,454,25:22
30.0%,750000,304.09590765432125,453,22:13
40.0%,1000000,299.96090659230845,452,19:05
50.0%,1250000,300.48646681534944,452,15:54
60.0%,1500000,299.6124936956185,452,12:44
70.0%,1750000,299.5304032564604,452,9:33
80.0%,2000000,300.52137423462943,452,6:22
90.0%,2250000,300.6058683695686,451,3:11
100.0%,2500000,301.55334663218696,450,0:00
