Frame,Temperature
556,201.94702366670532
334,203.79648825969917
55,205.60516734389645
305,205.80249793516288
522,206.2128217965802
279,207.2215528541407
300,207.70353172373467
821,208.20959467993458
697,208.63309490589393
390,210.0510374855789
631,210.55080459920615
896,210.91769288127466
411,210.98384564551426
384,211.4109773037675
431,211.62547859889375
1187,211.8406205502633
25,212.6781279476142
521,213.0723534603581
366,213.81497470828614
743,213.9357340645046
1131,214.49767138548674
814,214.70255121903352
111,214.89007009811783
1105,215.04363218891913
724,215.1609995629333
132,215.19390509620163
964,215.51469279152238
1027,215.62844413686125
169,215.78791640654015
886,215.84167027758272
673,215.88504374891983
1159,215.95790272242246
396,216.12831312886428
161,216.18214000414184
779,216.36286132581992
200,216.36740847056035
898,216.4917927372819
237,216.78674134978309
83,216.8468376534651
499,217.01294735450173
79,217.1712352746028
174,217.77924530283684
1188,218.48056894938344
313,218.58984128318627
424,218.6115116695702
828,219.25907742940902
1030,219.4735875990366
926,219.55803189060947
183,219.66141484966724
665,219.80064011673412
118,219.9929129142414
761,220.01424051544066
412,220.025775797747
606,220.1163251118493
602,220.30765552787423
598,220.39286671235584
865,220.40167573364008
877,220.4168417947321
883,220.48453780674944
713,220.7145038094434
892,220.9714375786675
151,221.13348781307099
378,221.23690791391857
685,221.32490079645123
308,221.41897787547518
816,221.64495842265035
294,221.81344181956084
80,222.13885915440542
51,222.1445926439802
622,222.1725283480867
656,222.25715105207124
473,222.3377642879294
983,222.3965407974411
1026,222.418947516298
401,222.68124498527845
1000,222.80938814235606
100,222.83755160360974
963,222.84364983990963
455,222.85216848061492
1148,223.05425071252984
351,223.13276858559084
447,223.59860562986447
879,223.69818921614925
578,223.83141746488465
181,223.9599959667921
197,224.07747610198842
190,224.08481445378547
349,224.21715362509426
1112,224.29479059535703
103,224.3603254356484
357,224.42472913567602
152,224.430627492037
703,224.49231995906734
30,224.49784683729484
462,224.67325984705215
490,224.69561773362005
982,224.70899785718228
933,224.85237874705956
1192,224.91173113253026
784,225.0526554378195
340,225.1053518225133
670,225.11346988293246
589,225.1389488118721
489,225.38061705474814
477,225.3844019729698
645,225.4975099100656
577,225.52490566625463
295,225.6373640232867
1034,225.74245188885286
1161,225.80530310937948
852,225.84381417604854
1157,225.8935958259299
663,225.93729580447814
777,225.96926384275548
120,226.03558524726233
277,226.21702079246955
948,226.38823980810162
633,226.4333218381509
903,226.4688248160078
478,226.60073239124452
1061,226.63018816695734
957,226.63542600212634
532,226.64316576105662
468,226.6485764032567
43,227.0024638609127
688,227.0524835493031
1074,227.1338667056259
1172,227.14097834475155
228,227.21350896256936
513,227.24148434183653
1151,227.30718904084856
824,227.35536389855912
1136,227.76089230791672
831,227.90958051219997
647,228.01476776597568
610,228.03910738002455
714,228.35454107411118
342,228.35583780274172
573,228.47630959063164
242,228.53795634663987
287,228.63634459527535
609,228.67388655771217
1033,228.7449985050534
1054,228.85436659374247
940,229.00564866955474
1106,229.03501862136218
463,229.09367430745493
510,229.1003808015535
28,229.20624651965275
72,229.23136920630625
727,229.31864103153933
783,229.34054559710933
640,229.36167766833154
368,229.46019035345105
788,229.524677369492
1194,229.53595679416927
747,229.61829247134696
15,229.62001114906863
765,229.7143538073353
924,229.73881987114973
218,229.7541758026553
428,229.85830676370352
258,229.99966354479523
891,230.06206791449642
639,230.07282500781204
31,230.15723393121277
520,230.25474327237615
778,230.30466443256822
937,230.4035628332555
229,230.4157248867154
567,230.42899892280602
168,230.4725580834652
969,230.67192248831617
1003,230.68353179403823
217,230.7773565424173
512,230.78552590821343
970,230.84163462943528
630,230.86249757316594
18,230.86562725656404
681,231.09586779000364
991,231.20292510926134
356,231.2445588693721
1069,231.32318371137464
981,231.3785890139652
199,231.40066056232456
751,231.422792169837
386,231.4332336706908
282,231.50690725488695
773,231.74589331928763
951,231.7724694978957
1189,231.81954797807856
1045,231.83723196603077
364,231.849388728912
942,231.91223083276833
899,231.93164790050585
1127,231.9376609891861
802,231.9382864567973
902,231.97264668999364
58,232.0702376984855
19,232.09188567683978
1118,232.17147947026285
75,232.3092275158345
676,232.35548690132887
62,232.38690789781108
145,232.4371162067516
506,232.4455062452614
795,232.49690214865552
936,232.5204793390795
709,232.56644247220356
223,232.56904062755228
614,232.58228732030253
469,232.60713004168673
387,232.6443030719262
627,232.6586679630994
690,232.76083647266503
45,232.76822663533568
338,232.78905800868267
131,232.81741215199403
649,232.85004607267973
247,232.89559385590954
179,232.9067428017096
591,232.92316902408044
136,232.95054212321267
648,232.97714435486338
291,232.97754220363234
514,233.05156403334567
49,233.23492642516058
74,233.28709468315768
173,233.2925043733975
238,233.39976236800777
597,233.46356415449608
517,233.47732718295927
923,233.51285811565566
37,233.62589970875746
316,233.65326677005325
354,233.68825849275427
471,233.71729752111736
537,233.80295521089764
956,233.82881333626676
600,234.0587949279738
34,234.06322112938207
674,234.1052854457606
543,234.15014486804014
115,234.15576551869316
52,234.15780506323821
561,234.17667782670844
1058,234.21050979644627
1097,234.21053057208988
460,234.26482052487236
470,234.27962143650117
1023,234.32091869303616
1010,234.3255044385617
644,234.32645752766436
172,234.34203747722185
397,234.34268262036832
439,234.34732060368393
1098,234.36181595656782
12,234.4582011254323
175,234.64423252547203
705,234.69892123478104
723,234.74078621692266
452,234.76707671760374
272,234.79464828515287
740,234.82854697972132
1071,234.8712980612217
706,234.91873413839687
1119,234.95910422987896
139,235.02364080837805
873,235.02768801132868
566,235.03169767129648
377,235.12634012700687
668,235.1729188517826
1138,235.21273960981398
448,235.22116116309053
236,235.29207389499052
372,235.37765455611878
929,235.43775116357335
1096,235.4455935196526
684,235.4902146674592
1049,235.49362677323091
245,235.495327156279
82,235.5912207748691
96,235.59586903664805
1122,235.63010973750602
593,235.6336296730233
392,235.65355722159512
348,235.6859857862537
130,235.70988923185752
529,235.76673296000976
220,235.7689298449103
694,235.86874558441227
930,235.88163328919018
314,235.98809179323558
65,236.01443393500207
1141,236.02388656227873
404,236.04930276517157
209,236.12709527071502
655,236.20738066931025
559,236.23639438493294
480,236.24844859728964
1039,236.25086359638712
742,236.27122793648763
162,236.45105771787186
619,236.46621922246854
527,236.57889866696735
605,236.59455789420656
1173,236.6375625603903
953,236.66105061132347
450,236.71295903913548
874,236.7218022779348
165,236.73857200288722
678,236.90810798835085
662,236.9081146181865
810,236.95287435717793
1029,236.9566650685269
125,236.97199592935303
184,237.01182651611768
42,237.0475678363866
353,237.0594709448857
978,237.1231556240269
617,237.16188419083048
1164,237.25022445617566
212,237.2657289248592
820,237.32042842491606
625,237.32346253735653
1180,237.3333247986444
375,237.49477150715634
880,237.51170516690797
858,237.52697045689084
641,237.57880429344124
283,237.59962583377904
547,237.64429844391356
781,237.6892259462978
994,237.72123830853243
904,237.8205697549415
416,237.83652833967426
642,237.8639716111617
232,237.86953121057232
959,237.9150972006899
186,238.03480092285008
691,238.08327026326626
290,238.0905037089836
444,238.12272635362007
249,238.16811784257973
1150,238.28127338955923
535,238.43883938089726
1043,238.48039713697557
483,238.48284387651816
888,238.49684454387102
730,238.52008551762847
1132,238.54159055880362
415,238.57710026627979
1077,238.63631446112183
758,238.6593717129977
275,238.6702254087033
286,238.7531087146017
280,238.77433300611264
616,238.81227137794005
122,238.84146398996467
1155,238.85458732439528
607,238.86813101925966
1176,238.8991803819842
207,239.13413427638352
210,239.14996110782914
1028,239.23736140989706
1085,239.26607538359755
347,239.32525247358902
437,239.36184532501565
728,239.38238733453755
57,239.4844229516569
445,239.49073580061756
24,239.55319320754924
367,239.63135248088957
845,239.65799327521725
766,239.687470229859
355,239.7333612472926
440,239.73855969727924
382,239.73915479811564
975,239.83856948627343
611,239.8986983244974
248,239.918457986667
833,239.92667553474672
887,239.99685378892056
89,240.05888989732412
233,240.07476492294225
123,240.07755431428922
451,240.14729243452
908,240.225897137982
330,240.25543811374953
698,240.2582539074151
889,240.2706461907795
720,240.29400375528056
564,240.33825575157684
805,240.35391686291797
846,240.37927187582758
317,240.38297574385993
651,240.4028378239142
350,240.46010670328727
142,240.5024131410267
1109,240.5408401245981
1153,240.54545676414378
1123,240.58471535935232
721,240.62345310186245
739,240.68586606032346
1088,240.6904576726393
400,240.7212977098877
557,240.91703634117897
1012,240.92342820497075
456,240.92601304049927
939,241.14500188029535
326,241.17214349514174
552,241.1852403649919
629,241.24130377517065
48,241.2430822884314
699,241.32111261350101
1053,241.37849279402081
918,241.41760822393144
380,241.45310121964286
944,241.51009501499368
268,241.55316347589854
1130,241.5875848166594
1184,241.6880565729363
319,241.72290750606976
839,241.7264698850738
339,241.79098792877633
934,241.8456567444874
850,241.8551330150669
1001,241.92614580409514
1099,242.0342315614513
1037,242.06875049453106
755,242.09610080426287
143,242.12038982352558
1128,242.16090545453295
1067,242.16978167236257
984,242.21659960140073
202,242.2724104376552
1016,242.28534008109202
81,242.3082122332508
1020,242.38232477330203
799,242.41200826998795
797,242.43485519183832
1134,242.4556031708888
832,242.4652483305731
303,242.4966635645086
457,242.66410173041675
1198,242.73852254944006
231,242.74071747752802
1095,242.91088850546066
544,242.93996236704814
1101,242.97632678667173
1083,242.99067496547113
997,243.03371351704791
626,243.1400411139063
95,243.1417940256317
837,243.1562269392268
528,243.18001392953295
672,243.31023293352865
952,243.42655957179204
344,243.4905303749326
989,243.50667648195753
163,243.52180292543378
393,243.53057153488257
907,243.55653956068477
767,243.61122925880358
1017,243.62738423323762
208,243.77094358324595
1162,243.78713068611657
1174,243.8491842197388
156,243.8506297035169
39,243.95664744510879
413,243.99230341769723
254,244.01079489697165
93,244.0283969996373
562,244.04207052239545
1019,244.08208621007174
511,244.11534342393264
1014,244.2163998004952
257,244.23433568401921
435,244.24435532528952
109,244.25475612155685
549,244.32628951707417
526,244.3441847466555
391,244.41544798955331
459,244.41994495650928
337,244.42724237220943
195,244.47772301961948
961,244.47919701358276
211,244.5289138159733
581,244.54345493025042
358,244.54790165134358
464,244.55047182821502
601,244.55089402141326
1007,244.56446558090087
154,244.5673623917903
381,244.57465236251048
979,244.74177235276218
710,244.77349181516874
112,244.86440936127366
954,244.88011144896024
425,244.8986440863616
1063,244.9371033240012
259,244.9376071032973
966,244.9590906163719
1036,244.95993788759137
972,244.97146579193162
234,244.98389193611033
88,245.00855483618489
568,245.13014327946797
438,245.13533866360433
910,245.1354871385481
461,245.13811966561835
917,245.15477832940473
256,245.1712250302223
312,245.17883528496773
756,245.2231781155734
491,245.2425714866319
920,245.25694420259285
534,245.25752839417717
863,245.28969974978887
494,245.40139442337804
658,245.41449715267694
545,245.50700265264348
1041,245.52052324762306
1051,245.52578909211013
1015,245.56964821578535
1025,245.6230646606658
243,245.71931589283747
711,245.7207814141817
365,245.73865479547044
729,245.76918766538407
807,245.82343377784247
26,245.8684178628195
423,245.8817291653361
895,245.9309252383609
752,245.995239438852
1090,246.05724230763008
16,246.10276739696937
749,246.16732198208075
369,246.18798243404686
22,246.19468815716957
1080,246.20655909947314
114,246.20781794090715
998,246.21341909901668
869,246.24674096742342
252,246.3241193655939
787,246.32964724343486
224,246.3616188188746
267,246.3967951444447
92,246.40921704387762
271,246.4096794081792
1137,246.4293548510075
782,246.4524239146561
575,246.46371898206965
950,246.50580360466054
1032,246.54627345577572
1181,246.58040848003168
146,246.61349015377823
486,246.64207146092087
1190,246.6469710296162
682,246.64911060060072
1168,246.65664919355427
50,246.6825967163492
78,246.71745792745367
987,246.76664909620564
683,246.76938926324056
94,246.79522588822118
748,246.7998648480736
191,246.8161853306388
565,246.8339946149855
733,246.86856647053503
509,246.86954840644643
1146,246.8841567572335
226,246.91834436038982
38,246.93624095349838
253,246.94706660129341
443,246.95456702560395
595,246.98152272862848
538,247.08728044102415
774,247.11781466678775
1057,247.1189653274397
680,247.1190368629138
804,247.12306715595454
636,247.18928684103062
