time,Potential Energy (kJ/mole)
0.000000,-384510.687500
10.000000,-339884.000000
20.000000,-339653.250000
30.000000,-337720.406250
40.000000,-340432.125000
50.000000,-339212.218750
60.000000,-340637.968750
70.000000,-339897.343750
80.000000,-337652.562500
90.000000,-340011.500000
100.000000,-340081.437500
110.000000,-340670.062500
120.000000,-342019.968750
130.000000,-339209.843750
140.000000,-339890.218750
150.000000,-339161.875000
160.000000,-338659.500000
170.000000,-339273.281250
180.000000,-340799.000000
190.000000,-340725.000000
200.000000,-340633.468750
210.000000,-340257.406250
220.000000,-339691.000000
230.000000,-339271.000000
240.000000,-340451.250000
250.000000,-339233.468750
260.000000,-340573.187500
270.000000,-339641.750000
280.000000,-340345.500000
290.000000,-339615.062500
300.000000,-340554.250000
310.000000,-337539.593750
320.000000,-339832.062500
330.000000,-339396.656250
340.000000,-339744.875000
350.000000,-340164.062500
360.000000,-339414.187500
370.000000,-339090.406250
380.000000,-340343.500000
390.000000,-339006.562500
400.000000,-340277.875000
410.000000,-340101.031250
420.000000,-338356.437500
430.000000,-338637.500000
440.000000,-340971.625000
450.000000,-340261.000000
460.000000,-339731.531250
470.000000,-340794.812500
480.000000,-339902.031250
490.000000,-340612.031250
500.000000,-341058.812500
510.000000,-339178.062500
520.000000,-341298.531250
530.000000,-340136.843750
540.000000,-340814.750000
550.000000,-340312.343750
560.000000,-339754.187500
570.000000,-339691.281250
580.000000,-339778.906250
590.000000,-340740.218750
600.000000,-340854.531250
610.000000,-341509.843750
620.000000,-340729.562500
630.000000,-340100.437500
640.000000,-340910.031250
650.000000,-339585.875000
660.000000,-339571.656250
670.000000,-340286.437500
680.000000,-338672.187500
690.000000,-338818.187500
700.000000,-339339.437500
710.000000,-339647.375000
720.000000,-338921.281250
730.000000,-339624.187500
740.000000,-339421.343750
750.000000,-340510.000000
760.000000,-341089.875000
770.000000,-340544.562500
780.000000,-338920.250000
790.000000,-340202.500000
800.000000,-340910.375000
810.000000,-339235.812500
820.000000,-340057.812500
830.000000,-339363.000000
840.000000,-340948.312500
850.000000,-339993.750000
860.000000,-341158.093750
870.000000,-341116.625000
880.000000,-339768.906250
890.000000,-340865.187500
900.000000,-339054.281250
910.000000,-340209.500000
920.000000,-340042.281250
930.000000,-340965.062500
940.000000,-338694.125000
950.000000,-339216.062500
960.000000,-340506.562500
970.000000,-338928.343750
980.000000,-340230.343750
990.000000,-340603.218750
1000.000000,-339561.593750
1010.000000,-340122.375000
1020.000000,-340167.343750
1030.000000,-339783.750000
1040.000000,-341016.937500
1050.000000,-339527.875000
1060.000000,-340045.531250
1070.000000,-338767.750000
1080.000000,-338860.468750
1090.000000,-340176.968750
1100.000000,-338837.593750
1110.000000,-340426.968750
1120.000000,-340222.406250
1130.000000,-339374.093750
1140.000000,-341171.906250
1150.000000,-339910.750000
1160.000000,-340543.750000
1170.000000,-338786.812500
1180.000000,-339488.437500
1190.000000,-339097.937500
1200.000000,-340427.718750
1210.000000,-340678.187500
1220.000000,-340022.562500
1230.000000,-339350.593750
1240.000000,-339104.187500
1250.000000,-339690.687500
1260.000000,-339968.437500
1270.000000,-339488.625000
1280.000000,-339599.156250
1290.000000,-338962.031250
1300.000000,-339376.687500
1310.000000,-339583.531250
1320.000000,-340272.000000
1330.000000,-340745.968750
1340.000000,-340034.625000
1350.000000,-339569.093750
1360.000000,-340004.406250
1370.000000,-339845.375000
1380.000000,-339456.906250
1390.000000,-339767.968750
1400.000000,-340749.500000
1410.000000,-339422.500000
1420.000000,-340311.781250
1430.000000,-339304.812500
1440.000000,-339618.406250
1450.000000,-338783.125000
1460.000000,-340016.125000
1470.000000,-341770.406250
1480.000000,-340048.125000
1490.000000,-340498.218750
1500.000000,-339930.906250
1510.000000,-340192.218750
1520.000000,-340337.093750
1530.000000,-340214.312500
1540.000000,-339442.500000
1550.000000,-339500.062500
1560.000000,-340557.593750
1570.000000,-340462.968750
1580.000000,-341014.812500
1590.000000,-338769.843750
1600.000000,-339451.625000
1610.000000,-339351.531250
1620.000000,-339510.593750
1630.000000,-340375.437500
1640.000000,-339480.812500
1650.000000,-340377.531250
1660.000000,-339796.781250
1670.000000,-339280.531250
