#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,303.6349683133464,0,--
20.0%,500000,297.63255864475906,412,27:57
30.0%,750000,302.5771916238465,414,24:19
40.0%,1000000,299.4560131829177,417,20:44
50.0%,1250000,300.8341876505529,417,17:15
60.0%,1500000,303.2833734258642,417,13:48
70.0%,1750000,302.22331355180484,418,10:20
80.0%,2000000,300.6400515608561,418,6:52
90.0%,2250000,297.7590044488878,419,3:26
100.0%,2500000,302.22014420708047,419,0:00
