#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,299.1134675046132,0,--
20.0%,500000,299.21771499853924,448,25:41
30.0%,750000,301.1128232084831,445,22:39
40.0%,1000000,302.2160884303419,443,19:29
50.0%,1250000,301.39173440060546,442,16:17
60.0%,1500000,297.7329475858031,442,13:01
70.0%,1750000,298.6169596152708,442,9:45
80.0%,2000000,297.81139749928917,442,6:30
90.0%,2250000,301.38579045838355,442,3:15
100.0%,2500000,298.11933539462296,442,0:00
