filename,energy,HOMO_LUMO_gap,method
REST600d_0162_opt.json,-221.33878968,2.58341902,SAGE (REST_600K)
REST600d_0157_opt.json,-221.33865018,2.62594016,SAGE (REST_600K)
REST600d_0166_opt.json,-221.33850934,2.63199471,SAGE (REST_600K)
REST600d_0844_opt.json,-221.33782824,2.56368079,SAGE (REST_600K)
REMD_0960_opt.json,-221.3377514,2.57969472,SAGE (REMD_500K)
REMD_0063_opt.json,-221.3377095,2.60016511,SAGE (REMD_500K)
REST600d_0179_opt.json,-221.33742438,2.51187871,SAGE (REST_600K)
REST600d_0167_opt.json,-221.3372669,2.63648798,SAGE (REST_600K)
REMD_0069_opt.json,-221.33726389,2.5838554,SAGE (REMD_500K)
REMD_0943_opt.json,-221.3370211,2.53718844,SAGE (REMD_500K)
REST600d_0149_opt.json,-221.33698747,2.59535129,SAGE (REST_600K)
REST600d_0869_opt.json,-221.33689976,2.60046269,SAGE (REST_600K)
REST600d_0870_opt.json,-221.33688573,2.59167217,SAGE (REST_600K)
REMD_0279_opt.json,-221.3368435,2.55530502,SAGE (REMD_500K)
REST600d_0860_opt.json,-221.33682165,2.5990802,SAGE (REST_600K)
REST600d_0270_opt.json,-221.3367712,2.71665697,SAGE (REST_600K)
REMD_0062_opt.json,-221.3367702,2.53333581,SAGE (REMD_500K)
REST600d_0136_opt.json,-221.33670142,2.68255172,SAGE (REST_600K)
REMD_0449_opt.json,-221.33667552,2.59640832,SAGE (REMD_500K)
REMD_0120_opt.json,-221.33666263,2.54841291,SAGE (REMD_500K)
REST600d_0843_opt.json,-221.33662668,2.5276786,SAGE (REST_600K)
REMD_0450_opt.json,-221.33661949,2.62580232,SAGE (REMD_500K)
REMD_0957_opt.json,-221.33652835,2.55060132,SAGE (REMD_500K)
REST600d_0854_opt.json,-221.33648032,2.51965167,SAGE (REST_600K)
REST600d_0267_opt.json,-221.33647529,2.63472446,SAGE (REST_600K)
REST600d_0156_opt.json,-221.33646444,2.61565311,SAGE (REST_600K)
REST600d_0163_opt.json,-221.33642081,2.56969908,SAGE (REST_600K)
REMD_0280_opt.json,-221.33641758,2.58475094,SAGE (REMD_500K)
REST600d_0118_opt.json,-221.33637535,2.55192712,SAGE (REST_600K)
REMD_0819_opt.json,-221.3363683,2.55846108,SAGE (REMD_500K)
REMD_0054_opt.json,-221.33634797,2.57207841,SAGE (REMD_500K)
REST600d_0889_opt.json,-221.3363127,2.57834243,SAGE (REST_600K)
REST600d_0261_opt.json,-221.3362859,2.68225892,SAGE (REST_600K)
REMD_0878_opt.json,-221.33625942,2.55593405,SAGE (REMD_500K)
REMD_0057_opt.json,-221.33619911,2.58292395,SAGE (REMD_500K)
REMD_0265_opt.json,-221.33616481,2.55175273,SAGE (REMD_500K)
REST600d_0238_opt.json,-221.33614558,2.63555134,SAGE (REST_600K)
REST600d_0341_opt.json,-221.33613263,2.56011602,SAGE (REST_600K)
REMD_1001_opt.json,-221.3361273,2.64761857,SAGE (REMD_500K)
REMD_0947_opt.json,-221.33606952,2.55657134,SAGE (REMD_500K)
REMD_0144_opt.json,-221.33604588,2.55493636,SAGE (REMD_500K)
REST600d_0181_opt.json,-221.33602891,2.5258438,SAGE (REST_600K)
REMD_0971_opt.json,-221.33601327,2.51926239,SAGE (REMD_500K)
REMD_0453_opt.json,-221.33601308,2.55569617,SAGE (REMD_500K)
REMD_0881_opt.json,-221.33595826,2.52992577,SAGE (REMD_500K)
REST600d_0880_opt.json,-221.33595713,2.55346232,SAGE (REST_600K)
REST600d_0272_opt.json,-221.33594133,2.64972616,SAGE (REST_600K)
REST600d_0875_opt.json,-221.3359298,2.56617681,SAGE (REST_600K)
REMD_0933_opt.json,-221.33585171,2.5105325,SAGE (REMD_500K)
REMD_0952_opt.json,-221.33579294,2.51425366,SAGE (REMD_500K)
REST600d_0299_opt.json,-221.33578942,2.66907965,SAGE (REST_600K)
REMD_0110_opt.json,-221.33576732,2.50225401,SAGE (REMD_500K)
REST600d_0878_opt.json,-221.33568321,2.52807801,SAGE (REST_600K)
REMD_0945_opt.json,-221.3356644,2.55012382,SAGE (REMD_500K)
REMD_0067_opt.json,-221.33561275,2.49768714,SAGE (REMD_500K)
REST600d_0845_opt.json,-221.33558525,2.55762173,SAGE (REST_600K)
REST600d_0152_opt.json,-221.33555682,2.56175493,SAGE (REST_600K)
REST600d_0874_opt.json,-221.33552739,2.57487236,SAGE (REST_600K)
REST600d_0851_opt.json,-221.33551145,2.57504392,SAGE (REST_600K)
REST600d_0137_opt.json,-221.33550701,2.62180873,SAGE (REST_600K)
REST600d_0132_opt.json,-221.33546209,2.67692214,SAGE (REST_600K)
REMD_0221_opt.json,-221.33545708,2.57935079,SAGE (REMD_500K)
REST600d_0146_opt.json,-221.33544227,2.59902635,SAGE (REST_600K)
REST600d_0273_opt.json,-221.33543432,2.7125892,SAGE (REST_600K)
REMD_0965_opt.json,-221.33543276,2.51640427,SAGE (REMD_500K)
REST600d_0864_opt.json,-221.33543247,2.55034158,SAGE (REST_600K)
REST600d_0858_opt.json,-221.33540661,2.56513398,SAGE (REST_600K)
REST600d_0863_opt.json,-221.33538685,2.57915377,SAGE (REST_600K)
REST600d_0131_opt.json,-221.33535333,2.71765201,SAGE (REST_600K)
REMD_0927_opt.json,-221.33534529,2.53814941,SAGE (REMD_500K)
REST600d_0248_opt.json,-221.33534184,2.70149468,SAGE (REST_600K)
REMD_0956_opt.json,-221.33532259,2.62418167,SAGE (REMD_500K)
REST600d_0130_opt.json,-221.33528355,2.71540239,SAGE (REST_600K)
REST600d_0891_opt.json,-221.33527827,2.56883966,SAGE (REST_600K)
REST600d_0857_opt.json,-221.33527803,2.51553045,SAGE (REST_600K)
REMD_0955_opt.json,-221.33526098,2.53931976,SAGE (REMD_500K)
REMD_0455_opt.json,-221.33525804,2.58918587,SAGE (REMD_500K)
REST600d_0868_opt.json,-221.3352524,2.59006719,SAGE (REST_600K)
REMD_0868_opt.json,-221.33520616,2.51608168,SAGE (REMD_500K)
REST600d_0192_opt.json,-221.33520503,2.57889836,SAGE (REST_600K)
REST600d_0133_opt.json,-221.33516097,2.67923872,SAGE (REST_600K)
REST600d_0292_opt.json,-221.33515141,2.57307611,SAGE (REST_600K)
REMD_0942_opt.json,-221.33514472,2.54044139,SAGE (REMD_500K)
REMD_0944_opt.json,-221.33512557,2.52013143,SAGE (REMD_500K)
REST600d_0334_opt.json,-221.33512476,2.60949992,SAGE (REST_600K)
REST600d_0871_opt.json,-221.33509575,2.62081028,SAGE (REST_600K)
REST600d_0343_opt.json,-221.33509095,2.61606531,SAGE (REST_600K)
REMD_0968_opt.json,-221.33507495,2.5551524,SAGE (REMD_500K)
REMD_0058_opt.json,-221.33503578,2.45297053,SAGE (REMD_500K)
REMD_0962_opt.json,-221.33503048,2.50810941,SAGE (REMD_500K)
REMD_0146_opt.json,-221.33502059,2.57691352,SAGE (REMD_500K)
REST600d_0148_opt.json,-221.33491607,2.55037598,SAGE (REST_600K)
REMD_0117_opt.json,-221.33491441,2.55122351,SAGE (REMD_500K)
REST600d_0127_opt.json,-221.33491276,2.65866937,SAGE (REST_600K)
REST600d_0859_opt.json,-221.33491227,2.5886246,SAGE (REST_600K)
REMD_0068_opt.json,-221.33490946,2.53882768,SAGE (REMD_500K)
REST600d_0866_opt.json,-221.33490266,2.57145075,SAGE (REST_600K)
REST600d_0268_opt.json,-221.33490241,2.70660038,SAGE (REST_600K)
REMD_0961_opt.json,-221.33490082,2.59353712,SAGE (REMD_500K)
REST600d_0184_opt.json,-221.33489186,2.59081834,SAGE (REST_600K)
