filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol,DFT_spe_Energy (+ CPCM) / kcal/mol,DFT_spe_Energy (exclude CPCM) / kcal/mol,MACE24medium_Energy / kcal/mol,MACE23large_Energy / kcal/mol
REST600d_0162_opt.json,2.58341902,SAGE 10 ns (16 REST up to 600K),-138892.08257330713,-2095863.8567344493,-2095821.3100780672,-2095727.4012009373,-2095725.6995996675
REST600d_0157_opt.json,2.62594016,SAGE 10 ns (16 REST up to 600K),-138891.99503580164,-2095862.596206892,-2095820.1280023127,-2095725.617731538,-2095724.7417598355
REST600d_0166_opt.json,2.63199471,SAGE 10 ns (16 REST up to 600K),-138891.90665743407,-2095864.470300109,-2095820.6201330863,-2095727.5027212454,-2095725.4576266292
REST600d_0844_opt.json,2.56368079,SAGE 10 ns (16 REST up to 600K),-138891.47926105416,-2095860.901178559,-2095817.1046949315,-2095724.2177868187,-2095722.7681675595
REMD_0960_opt.json,2.57969472,SAGE 10 ns (16 REMD up to 475K),-138891.4310432626,-2095860.8200779643,-2095816.8862238317,-2095724.049523146,-2095722.5684914337
REMD_0063_opt.json,2.60016511,SAGE 10 ns (16 REMD up to 475K),-138891.4047506355,-2095861.566518867,-2095818.6555138165,-2095724.9474216546,-2095723.551836319
REST600d_0179_opt.json,2.51187871,SAGE 10 ns (16 REST up to 600K),-138891.2258352694,-2095862.065861182,-2095818.8055996825,-2095725.4782300903,-2095724.292377584
REST600d_0167_opt.json,2.63648798,SAGE 10 ns (16 REST up to 600K),-138891.1270151521,-2095864.0699842712,-2095821.247129175,-2095726.7372136083,-2095725.1304726964
REMD_0069_opt.json,2.5838554,SAGE 10 ns (16 REMD up to 475K),-138891.12512635,-2095861.8017360824,-2095818.8319183784,-2095725.4186244763,-2095723.4271596756
REMD_0943_opt.json,2.53718844,SAGE 10 ns (16 REMD up to 475K),-138890.9727734399,-2095859.939843946,-2095815.170962959,-2095722.704609253,-2095721.44933107
REST600d_0149_opt.json,2.59535129,SAGE 10 ns (16 REST up to 600K),-138890.95167031224,-2095862.1325889395,-2095818.8400333163,-2095725.134217688,-2095723.7349893525
REST600d_0869_opt.json,2.60046269,SAGE 10 ns (16 REST up to 600K),-138890.89663149783,-2095861.91455096,-2095817.9246690583,-2095725.045659422,-2095722.9977997388
REST600d_0870_opt.json,2.59167217,SAGE 10 ns (16 REST up to 600K),-138890.88782754657,-2095861.6727906216,-2095816.8470912047,-2095724.458484605,-2095722.4263625145
REMD_0279_opt.json,2.55530502,SAGE 10 ns (16 REMD up to 475K),-138890.8613278415,-2095861.6429173525,-2095818.4820677112,-2095725.2445153615,-2095723.5404404772
REST600d_0860_opt.json,2.5990802,SAGE 10 ns (16 REST up to 600K),-138890.84761676984,-2095861.7265331824,-2095817.746580983,-2095724.1347667654,-2095722.550773026
REMD_0062_opt.json,2.53333581,SAGE 10 ns (16 REMD up to 475K),-138890.8153314318,-2095861.2544550784,-2095817.932023125,-2095724.8625878606,-2095723.2956542668
REMD_0449_opt.json,2.59640832,SAGE 10 ns (16 REMD up to 475K),-138890.75591887967,-2095861.904283444,-2095818.586303667,-2095724.5420254946,-2095723.4656031267
REMD_0120_opt.json,2.54841291,SAGE 10 ns (16 REMD up to 475K),-138890.7478302887,-2095861.315267819,-2095818.4265362008,-2095725.2013881563,-2095723.1079875648
REMD_0450_opt.json,2.62580232,SAGE 10 ns (16 REMD up to 475K),-138890.72075955043,-2095863.5211311528,-2095820.258012605,-2095725.4270288593,-2095724.5864977953
REMD_0957_opt.json,2.55060132,SAGE 10 ns (16 REMD up to 475K),-138890.66356838017,-2095860.6658707224,-2095816.9079330896,-2095723.709739453,-2095722.1193663445
MACEsmall_1900_opt.json,2.21220872,MACEsmall 0.1 ns (ML/MM),-138888.9442878465,-2095861.0485873416,-2095816.0004341016,-2095722.9423386443,-2095722.4156433493
MACEsmall_1893_opt.json,2.20683678,MACEsmall 0.1 ns (ML/MM),-138888.84837309585,-2095861.92347598,-2095815.942300316,-2095723.1643521518,-2095722.6169817448
MACEsmall_1994_opt.json,2.1706869,MACEsmall 0.1 ns (ML/MM),-138888.8080556426,-2095860.76429132,-2095816.029148355,-2095722.634788046,-2095722.2610498043
MACEsmall_1992_opt.json,2.15750553,MACEsmall 0.1 ns (ML/MM),-138888.80471101962,-2095859.7525045243,-2095815.1998882396,-2095721.686460991,-2095721.2463557653
MACEsmall_1787_opt.json,2.17765011,MACEsmall 0.1 ns (ML/MM),-138888.7286506537,-2095861.4433000544,-2095815.49221282,-2095723.2919803823,-2095722.62465266
MACEsmall_1776_opt.json,2.17192573,MACEsmall 0.1 ns (ML/MM),-138888.60566516485,-2095860.5035804345,-2095814.381058996,-2095721.5648122283,-2095721.1171135013
MACEsmall_1762_opt.json,2.13880558,MACEsmall 0.1 ns (ML/MM),-138888.59716869297,-2095858.9197778783,-2095813.515040767,-2095720.4440368584,-2095719.9528275484
MACEsmall_1986_opt.json,2.16862903,MACEsmall 0.1 ns (ML/MM),-138888.59091870332,-2095859.8291102448,-2095815.0072913445,-2095721.6017043418,-2095721.1158605963
MACEsmall_1796_opt.json,2.19064271,MACEsmall 0.1 ns (ML/MM),-138888.5876054558,-2095861.672257313,-2095815.9315205072,-2095723.2872050274,-2095722.747304596
MACEsmall_1919_opt.json,2.2237875,MACEsmall 0.1 ns (ML/MM),-138888.58370234983,-2095861.7942140475,-2095815.993818079,-2095723.6010477995,-2095722.9670285454
ANI2x_L_1265_opt.json,2.18857701,ANI2x 0.2 ns (ML/MM),-138888.2257963166,-2095859.844730544,-2095811.998038394,-2095721.5977225783,-2095720.5542588232
