filename,XTB_opt_Energy (ALPB),HOMO_LUMO_gap,sampling method in explicit TIP3P,DFT_spe_Energy (CPCM),DFT_spe_Energy (exclude CPCM),MACE24medium_Energy,MACE23large_Energy,OMOL25_Energy,UMA_Energy,RMSD_to_bioactive,conf. cluster
REST600d_0844_opt.json,-221.33782824,2.56368079,SAGE 10 ns (16 REST up to 600K),-3339.9694684515425,-3339.8996742595427,-90873.48095511312,-90873.41809763073,-90810.79997512698,-90810.794842452,3.5516088758164255,cluster_1
REMD_0960_opt.json,-221.3377514,2.57969472,SAGE 10 ns (16 REMD up to 475K),-3339.9693392094205,-3339.8993261034207,-90873.47365896912,-90873.4094393996,-90810.7890698611,-90810.79140064138,3.569631906082188,cluster_1
REMD_0957_opt.json,-221.33652835,2.55060132,SAGE 10 ns (16 REMD up to 475K),-3339.969093464352,-3339.899360699352,-90873.45892548143,-90873.38996471878,-90810.77398654836,-90810.77497836963,3.488796930867826,cluster_1
REMD_0943_opt.json,-221.3370211,2.53718844,SAGE 10 ns (16 REMD up to 475K),-3339.967936466164,-3339.896592659164,-90873.41534165524,-90873.36091106886,-90810.73436996332,-90810.73452541223,3.7707603785089145,cluster_1
SAGE_0356_opt.json,-221.33133515,2.51033289,SAGE 10 ns classic,-3339.967130774868,-3339.896099240868,-90873.331992112,-90873.2986191761,-90810.65166351192,-90810.66207477436,2.6714187140213776,cluster_1
SAGE_0226_opt.json,-221.33117648,2.49822056,SAGE 10 ns classic,-3339.966877707519,-3339.897778792519,-90873.3411832324,-90873.31646673549,-90810.68701145038,-90810.69590732473,2.536068727798129,cluster_1
GAFF_0786_opt.json,-221.33062616,2.6203977,GAFF 10 ns classic,-3339.966857864285,-3339.897149546285,-90873.32766589768,-90873.25415267498,-90810.66813251351,-90810.67689391968,3.0347263796767074,cluster_1
GAFF_0994_opt.json,-221.3301037,2.60723277,GAFF 10 ns classic,-3339.966749698276,-3339.894059496276,-90873.28066794333,-90873.21392727636,-90810.58773681516,-90810.6047722997,2.3834908616964423,cluster_1
GAFF_0761_opt.json,-221.33171286,2.57324288,GAFF 10 ns classic,-3339.966420119149,-3339.8965746641484,-90873.3491527726,-90873.27992137044,-90810.6748625934,-90810.68529674428,3.2879343730619817,cluster_1
GAFF_0798_opt.json,-221.32941776,2.60173435,GAFF 10 ns classic,-3339.966237239232,-3339.8949447072323,-90873.25105652872,-90873.21291047016,-90810.58384105556,-90810.60521861928,2.2106383395166813,cluster_1
GAFF_0900_opt.json,-221.33102748,2.58013707,GAFF 10 ns classic,-3339.9661715945767,-3339.8939917625767,-90873.30018176547,-90873.21569713314,-90810.607324332,-90810.61952754873,3.0988301841850596,cluster_1
SAGE_0227_opt.json,-221.33053477,2.53722326,SAGE 10 ns classic,-3339.966061595806,-3339.8940006308057,-90873.25735388744,-90873.24095948452,-90810.58402702208,-90810.59947177784,2.322622543448835,cluster_1
GAFF_0814_opt.json,-221.32983344,2.59331264,GAFF 10 ns classic,-3339.965738240508,-3339.8956165875074,-90873.2960331851,-90873.26906178027,-90810.66554996373,-90810.67268535512,3.4096719594939184,cluster_1
GAFF_0941_opt.json,-221.32938891,2.59743469,GAFF 10 ns classic,-3339.9647162171213,-3339.8934971401213,-90873.23015010396,-90873.1885110102,-90810.56495353596,-90810.5789363088,2.672984324728125,cluster_1
GAFF_0959_opt.json,-221.32996897,2.61125964,GAFF 10 ns classic,-3339.964136272438,-3339.8928071264377,-90873.21821331228,-90873.16402690976,-90810.52916690693,-90810.5580718221,1.7913255830189978,cluster_1
GAFF_0898_opt.json,-221.32946942,2.6200148,GAFF 10 ns classic,-3339.962954806927,-3339.889760683927,-90873.21537246462,-90873.13681041331,-90810.49101802692,-90810.50353118796,3.3506945347784005,cluster_1
GAFF_0762_opt.json,-221.32957221,2.5565201,GAFF 10 ns classic,-3339.96283122102,-3339.89192273702,-90873.25664381438,-90873.18495348106,-90810.55503913735,-90810.56462165732,3.461864611428427,cluster_1
