filename,HOMO_LUMO_gap,sampling method in explicit TIP3P,XTB_opt_Energy (+ ALPB) / kcal/mol
REMD_0046_opt.json,2.52118242,SAGE 10 ns (16 REMD up to 475K),-138886.5581911491
MACEsmall_0819_opt.json,2.39025893,MACEsmall 0.1 ns (ML/MM),-138886.5573691123
MACEsmall_1344_opt.json,2.3805803,MACEsmall 0.1 ns (ML/MM),-138886.55709928344
MACEsmall_0449_opt.json,2.39597208,MACEsmall 0.1 ns (ML/MM),-138886.55677297874
REST600d_0893_opt.json,2.48237135,SAGE 10 ns (16 REST up to 600K),-138886.5560513434
MACEsmall_1223_opt.json,2.35858332,MACEsmall 0.1 ns (ML/MM),-138886.55380486118
MACEsmall_1865_opt.json,2.18358121,MACEsmall 0.1 ns (ML/MM),-138886.5533593298
MACEsmall_1221_opt.json,2.36418507,MACEsmall 0.1 ns (ML/MM),-138886.55287614785
GAFF_0959_opt.json,2.61125964,GAFF 10 ns classic,-138886.54749839575
MACEsmall_1274_opt.json,2.33892623,MACEsmall 0.1 ns (ML/MM),-138886.54734151848
MACEsmall_0818_opt.json,2.41125491,MACEsmall 0.1 ns (ML/MM),-138886.54515778716
ANI2x_L_1627_opt.json,2.18337725,ANI2x 0.2 ns (ML/MM),-138886.54514523697
ANI2x_L_1339_opt.json,2.20342918,ANI2x 0.2 ns (ML/MM),-138886.5451389619
MACEsmall_1227_opt.json,2.37030841,MACEsmall 0.1 ns (ML/MM),-138886.5439404197
MACEsmall_0900_opt.json,2.355098,MACEsmall 0.1 ns (ML/MM),-138886.54248459882
MACEsmall_0927_opt.json,2.34816874,MACEsmall 0.1 ns (ML/MM),-138886.54191356563
MACEsmall_0455_opt.json,2.43938561,MACEsmall 0.1 ns (ML/MM),-138886.5409158263
REMD_0270_opt.json,2.55525909,SAGE 10 ns (16 REMD up to 475K),-138886.54006868918
MACEsmall_0624_opt.json,2.33030364,MACEsmall 0.1 ns (ML/MM),-138886.53959178232
ANI2x_L_1322_opt.json,2.19433585,ANI2x 0.2 ns (ML/MM),-138886.53932822857
MACEsmall_1267_opt.json,2.36208881,MACEsmall 0.1 ns (ML/MM),-138886.5386128683
MACEsmall_1318_opt.json,2.30856603,MACEsmall 0.1 ns (ML/MM),-138886.53851246685
MACEsmall_1739_opt.json,2.32009504,MACEsmall 0.1 ns (ML/MM),-138886.5384936416
