#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,301.69612337830785,0,--
20.0%,500000,300.1172559498782,479,24:01
30.0%,750000,297.48677978463036,480,20:59
40.0%,1000000,301.2019339004096,480,17:59
50.0%,1250000,303.0976782469818,481,14:58
60.0%,1500000,299.8614231729899,480,12:00
70.0%,1750000,300.08881933471906,479,9:00
80.0%,2000000,302.17986133071247,479,6:00
90.0%,2250000,301.760195314905,479,3:00
100.0%,2500000,302.80734609161766,479,0:00
