time,Potential Energy (kJ/mole)
0.000000,-384510.937500
10.000000,-339717.156250
20.000000,-338998.000000
30.000000,-341230.687500
40.000000,-339698.781250
50.000000,-340702.093750
60.000000,-339359.593750
70.000000,-340227.906250
80.000000,-339530.281250
90.000000,-340125.031250
100.000000,-339799.093750
110.000000,-338716.062500
120.000000,-338199.000000
130.000000,-340056.218750
140.000000,-339453.812500
150.000000,-339157.593750
160.000000,-339527.531250
170.000000,-339191.281250
180.000000,-339404.406250
190.000000,-339827.843750
200.000000,-338497.312500
210.000000,-341353.843750
220.000000,-338511.437500
230.000000,-339745.875000
240.000000,-339819.843750
250.000000,-340711.562500
260.000000,-339974.281250
270.000000,-339787.625000
280.000000,-340047.718750
290.000000,-338527.843750
300.000000,-340848.812500
310.000000,-339371.625000
320.000000,-340989.281250
330.000000,-339779.937500
340.000000,-340528.375000
350.000000,-339559.562500
360.000000,-340143.718750
370.000000,-340872.375000
380.000000,-340913.437500
390.000000,-339778.875000
400.000000,-340420.031250
410.000000,-338476.687500
420.000000,-340090.312500
430.000000,-338164.343750
440.000000,-339706.375000
450.000000,-339894.593750
460.000000,-339293.687500
470.000000,-340383.968750
480.000000,-339628.343750
490.000000,-339521.156250
500.000000,-340987.718750
510.000000,-340347.375000
520.000000,-340422.125000
530.000000,-340351.718750
540.000000,-339180.375000
550.000000,-340815.437500
560.000000,-338592.968750
570.000000,-340166.625000
580.000000,-340304.781250
590.000000,-340135.156250
600.000000,-340353.187500
610.000000,-339039.406250
620.000000,-340514.031250
630.000000,-340932.750000
640.000000,-340207.718750
650.000000,-339696.875000
660.000000,-340576.906250
670.000000,-340368.500000
680.000000,-339542.468750
690.000000,-338814.250000
700.000000,-339335.625000
710.000000,-339602.218750
720.000000,-340711.687500
730.000000,-339468.281250
740.000000,-340951.812500
750.000000,-339804.906250
760.000000,-341282.437500
770.000000,-340480.656250
780.000000,-340206.750000
790.000000,-338163.531250
800.000000,-340739.312500
810.000000,-339761.875000
820.000000,-339509.468750
830.000000,-340607.906250
840.000000,-338764.656250
850.000000,-340656.500000
860.000000,-339399.687500
870.000000,-339380.781250
880.000000,-341444.562500
890.000000,-339321.625000
900.000000,-338413.500000
910.000000,-339536.218750
920.000000,-340355.875000
930.000000,-339321.562500
940.000000,-340571.343750
950.000000,-339507.625000
960.000000,-341047.093750
970.000000,-340607.187500
980.000000,-340883.625000
990.000000,-342023.656250
1000.000000,-339858.187500
1010.000000,-338800.656250
1020.000000,-341470.000000
1030.000000,-339146.750000
1040.000000,-340500.281250
1050.000000,-340194.968750
1060.000000,-342190.875000
1070.000000,-340336.250000
1080.000000,-340604.031250
1090.000000,-339824.593750
1100.000000,-340809.812500
1110.000000,-339586.156250
1120.000000,-338349.500000
1130.000000,-340151.968750
1140.000000,-339487.312500
1150.000000,-339014.375000
1160.000000,-340347.906250
1170.000000,-339737.343750
1180.000000,-340458.406250
1190.000000,-339871.875000
1200.000000,-339787.093750
1210.000000,-339944.531250
1220.000000,-338404.093750
1230.000000,-339947.125000
1240.000000,-339717.031250
1250.000000,-339361.531250
1260.000000,-338982.281250
1270.000000,-340508.656250
1280.000000,-340191.750000
1290.000000,-341550.593750
1300.000000,-339331.250000
1310.000000,-339880.531250
1320.000000,-340185.187500
1330.000000,-342609.343750
1340.000000,-339753.437500
1350.000000,-338798.812500
1360.000000,-338645.906250
1370.000000,-340230.468750
1380.000000,-340228.562500
1390.000000,-340543.375000
1400.000000,-340195.093750
1410.000000,-340035.406250
1420.000000,-340428.218750
1430.000000,-339848.281250
1440.000000,-339843.656250
1450.000000,-339951.312500
1460.000000,-339795.250000
1470.000000,-339307.593750
1480.000000,-338654.875000
1490.000000,-340586.156250
1500.000000,-340018.312500
1510.000000,-340058.156250
1520.000000,-340396.156250
1530.000000,-339544.312500
1540.000000,-340325.375000
1550.000000,-341165.093750
1560.000000,-339058.625000
1570.000000,-340277.250000
1580.000000,-339348.500000
1590.000000,-338731.031250
1600.000000,-341255.875000
1610.000000,-340023.593750
1620.000000,-340772.812500
1630.000000,-339599.093750
1640.000000,-340387.343750
1650.000000,-340827.875000
1660.000000,-340412.656250
1670.000000,-340684.906250
1680.000000,-340157.687500
1690.000000,-339286.031250
1700.000000,-339589.937500
1710.000000,-340072.812500
1720.000000,-339433.281250
1730.000000,-340424.375000
1740.000000,-340664.687500
1750.000000,-340692.218750
1760.000000,-341124.187500
1770.000000,-339173.187500
1780.000000,-339893.062500
1790.000000,-338810.343750
1800.000000,-340138.343750
1810.000000,-338973.625000
1820.000000,-340606.781250
1830.000000,-340285.656250
1840.000000,-341454.843750
1850.000000,-340905.750000
1860.000000,-340471.812500
1870.000000,-341086.250000
1880.000000,-338918.375000
1890.000000,-339699.062500
1900.000000,-339672.218750
1910.000000,-339777.406250
1920.000000,-339754.843750
1930.000000,-339583.718750
1940.000000,-340728.687500
1950.000000,-340041.375000
1960.000000,-339716.406250
1970.000000,-338447.312500
1980.000000,-338991.468750
1990.000000,-339633.250000
2000.000000,-339574.250000
2010.000000,-340162.312500
2020.000000,-339141.218750
2030.000000,-339466.406250
2040.000000,-339643.437500
2050.000000,-338455.562500
2060.000000,-340401.468750
2070.000000,-339535.625000
2080.000000,-340050.906250
