Frame,Temperature
0,0.0
1,0.0
15,0.0
12,0.0
11,0.0
14,0.0
13,0.0
3,0.0
10,0.0
4,0.0
2,0.0
9,0.0
8,0.0
7,0.0
6,0.0
5,0.0
1288,192.48276952887812
5205,192.75418017740708
3965,194.8063508712067
7323,196.347930778922
6635,196.3984914247011
7527,196.95370844037524
5049,197.0331665117157
3039,197.34969522390753
6033,197.78231857750492
1935,197.81966994990094
5074,197.96924505995295
3604,198.03633723538525
169,198.64598592176972
1903,198.7249135118823
1643,199.0349487759455
5809,199.0561160099903
961,199.56051736740352
2071,199.95282912815466
5374,200.4189487411415
574,200.72450007533803
3418,200.91192477945444
1838,201.07689469789526
5461,201.32587598862597
2963,201.4591147370393
4621,201.6832313442357
4838,201.7918921232237
6568,201.8500929682405
976,201.93386640335487
5376,202.10254238081765
5213,202.18016372520447
4618,202.21334850442065
4053,202.29984744242205
7289,202.42838227778157
7586,202.53754045207268
5800,202.64660608988922
3085,202.7068145144196
7003,202.76636031654394
5693,203.34336345216093
4395,203.45935330717245
6763,203.48044916296226
6399,203.78464245572127
2510,204.08638481107926
2520,204.2641988260095
6722,204.41997479813028
3178,204.50656319098664
7767,204.64940803458944
1744,205.45356499065713
5504,205.550418234835
6771,205.68097005422624
3683,205.73195165517419
7397,205.75070542605576
7620,205.83783600131466
3663,205.88074238864743
1163,205.93795906305382
6127,206.18342168182517
1599,206.23910911713298
4092,206.29174227124412
1387,206.4346928604517
5142,206.4763075454894
7931,206.49790613314545
3721,206.6089649949658
7327,206.76017187627653
4487,206.79352466873834
7321,206.914061303673
5323,207.16603397401897
3514,207.20098121293637
1172,207.32872317359548
4545,207.38303908893525
7697,207.39148596412045
2916,207.430669462629
4963,207.49219686120756
7545,207.76130500941272
537,207.90475651770313
4569,207.91436191106652
1016,207.9486387897282
5709,208.00626258479616
2717,208.03614302373165
6898,208.05174989922048
2350,208.1489469024566
2652,208.15429663558643
3569,208.17174384047186
6805,208.26702269181837
5433,208.28936520824564
3426,208.3717116064256
4335,208.4413825882909
5234,208.70694362020643
1069,208.73385959238905
3526,208.84831213851942
6668,208.8787526864342
3390,208.89635765061996
4439,209.02803187781848
7623,209.09320195521818
1295,209.1018816502044
3867,209.27335425947393
3018,209.4717824029463
4305,209.6351039951721
5514,209.67851733061642
3766,209.68624062147123
4011,209.6930071918792
5470,209.73112114879086
1703,209.81017365437188
2252,209.96674484236678
419,210.04024366929895
3657,210.1144999201872
2388,210.1205900749967
1860,210.22576320347918
6839,210.30359492248397
1332,210.39736600744223
4617,210.4505016417769
3318,210.5832306540127
7199,210.72321678456444
386,210.7456452101558
3311,210.89922668572274
490,210.99630651710058
4891,211.15198410005092
1800,211.17674611046866
4371,211.18264030951747
4214,211.22685544645464
2601,211.24750715379423
4244,211.32086117254406
5245,211.32923098167223
7299,211.36433668554017
3035,211.38683666347893
3248,211.40727320723994
3909,211.4887799326165
5670,211.51258614039034
734,211.5273997908623
4759,211.529213599293
7193,211.54584562332386
2545,211.70914000814702
2173,211.81129802309238
842,211.86541964574172
2745,211.97914983393204
3054,212.03589621602183
1884,212.04351488475
3323,212.06762940074879
4153,212.08216238231498
2020,212.13517103415887
2577,212.26587676177004
7777,212.27603613317174
737,212.38265705257803
555,212.49006488270132
5127,212.50862381175736
609,212.52391000351304
3613,212.58622972474436
6406,212.59927314885516
7331,212.6351840990136
4900,212.67341843638
3987,212.80692069417643
1395,212.8140591933173
3933,212.8609100519781
2218,212.93200204305796
5345,212.93697348166918
4220,212.97562106312077
6016,212.99848838495967
2276,213.02007445426497
7182,213.02232897195566
4485,213.07812717891602
919,213.1389567204589
1150,213.1414627467967
2533,213.31530966175808
7599,213.61132977756887
1013,213.69474084996662
1555,213.6982419304301
1775,213.7461170403903
2042,213.75168509199077
2725,213.76381954056782
1587,213.7666240228865
6920,213.77534362003306
378,213.82528855605227
2841,213.8337733784116
5571,213.85211427900074
3463,213.89442606358799
2896,213.89793233530412
4780,213.89839771547733
7045,213.9328530365161
586,213.9357947052499
5977,213.9627633036833
4025,213.96583542595255
510,214.0119460862845
5515,214.03542001929094
4885,214.0817516317494
1894,214.08968296370836
731,214.12245803587757
2010,214.12263723687795
3839,214.1303629540199
4588,214.19493921808993
687,214.2308744647587
3586,214.24645989373852
2983,214.25357610502755
2064,214.3125727683327
7978,214.40107080639686
4236,214.40864644445685
2297,214.6025706857213
5570,214.62918618666683
7540,214.77630761660464
6122,214.81735834201265
6837,214.82152440978098
6032,214.8595706399788
2406,214.96158077423306
2102,215.03576385546566
2828,215.07796494829972
7737,215.08458650719746
4235,215.09117205745483
1271,215.10220561753897
4833,215.10731869531327
5500,215.1250011775972
438,215.12614637366235
310,215.18036734797437
1609,215.19863493051506
3701,215.20312824475266
1745,215.22602230280444
7480,215.2562148271477
7120,215.30269286438724
5001,215.38758517285453
500,215.45946750563436
700,215.5045734147849
6783,215.5190948778435
7404,215.5474792756172
1213,215.54970346200224
2409,215.63168884426693
4433,215.65637092667478
1468,215.66734039331155
7605,215.7007175925453
4555,215.71992371967045
6531,215.76795063387408
2157,215.7729018973873
5956,215.80520268478975
807,215.82292908236786
5110,215.82366009253226
608,215.8676303331537
5275,215.96263617812997
6907,216.00675786138683
6615,216.0303705888266
3374,216.03722650255293
4568,216.05394889181136
5640,216.1235470311935
1551,216.12392322672397
1418,216.1245211532354
5848,216.12961684179803
7564,216.14688829421405
5683,216.18434835278376
5628,216.18582187382458
1356,216.19350647484515
5207,216.1960127459496
4431,216.2123729646455
662,216.2322418260122
353,216.28639453774915
5221,216.32160378123783
4533,216.38390462541875
6904,216.39448263148932
7146,216.47532576234966
3935,216.4883085337144
4726,216.48936479997045
2363,216.4907188298327
3293,216.49482547315614
7250,216.50476673124277
6147,216.51025627369984
3868,216.52351277328216
7274,216.5419858543729
1010,216.55275441477758
1057,216.55422348936418
1531,216.58989949253805
4645,216.6218023226259
1552,216.68008708967957
6452,216.6820596556236
7624,216.74367708094493
3728,216.80855503652214
87,216.82493150739958
4950,216.85694718985448
1143,216.86414077017514
3768,216.8889694354624
6213,216.90027109720825
773,216.9969832035414
2479,217.0267352345789
4712,217.0548740970745
2121,217.08328494477843
4185,217.1266660636274
1070,217.1362167735645
7198,217.15703987001882
7689,217.17581909921205
4403,217.19722081134645
4837,217.217286847277
3034,217.22175726414457
1161,217.22394772676424
5961,217.22709075470163
2603,217.3017047034603
3092,217.3116251878628
1623,217.31750266540513
4333,217.3603489436622
2217,217.37040284949788
5112,217.38260787465293
98,217.38422415901945
5397,217.397295249784
4649,217.4108456617571
6036,217.44108184876836
6856,217.46300645501765
5622,217.4693865174256
6700,217.47070657427437
167,217.48540277677864
3908,217.53215054032614
6653,217.56335476567
7917,217.56748814433644
5421,217.5735281090171
3622,217.64046289467947
1519,217.67824479064362
