#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.56083004189014,0,--
20.0%,500000,301.9084122962256,420,27:24
30.0%,750000,302.9209496970397,423,23:48
40.0%,1000000,304.2351625759528,424,20:23
50.0%,1250000,299.81476705961114,423,17:00
60.0%,1500000,298.954727835586,424,13:35
70.0%,1750000,300.83585371130215,424,10:11
80.0%,2000000,300.39636968397775,424,6:47
90.0%,2250000,302.1463976632948,423,3:24
100.0%,2500000,299.18469063128356,422,0:00
