#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,302.9279056089326,0,--
20.0%,500000,300.3141070192178,414,27:49
30.0%,750000,302.34244199740493,418,24:05
40.0%,1000000,302.6699659906239,420,20:33
50.0%,1250000,299.9353694588902,420,17:07
60.0%,1500000,298.39661037868774,420,13:41
70.0%,1750000,299.8209024862297,421,10:15
80.0%,2000000,300.83875457791015,420,6:51
90.0%,2250000,298.74831573367294,420,3:25
100.0%,2500000,300.33306286391155,420,0:00
