Frame,Temperature
15,0.0
14,0.0
13,0.0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
819,182.48846976266142
6358,186.54942696134907
5946,190.92321177547885
5596,191.86909188766674
7435,192.1914255103962
1748,194.26217171895993
4224,194.98623862327432
3638,195.00787318327357
104,195.91667028898104
5368,197.00899187107777
3165,197.29890707775192
5630,197.9003628269884
3284,197.941457703466
3526,198.01995757780438
3869,198.2541895192385
1751,198.44057928550683
6344,198.86594808733224
728,199.27415001624414
1515,199.34041932061646
1199,200.08916063226076
3906,200.33549014417753
476,200.42503483474567
2717,200.55085988645993
5549,200.6630414499427
5037,200.67548367770505
2652,201.0051933211602
3465,201.13122999410535
1586,201.17971306578494
3573,201.39002306685236
5691,201.57645280973946
4814,201.58172025518434
1716,201.72380322780168
4577,201.78436271154814
2726,202.62234737722906
7810,202.89949854975393
3662,203.0842468937713
2375,203.39196555841622
3659,203.40406426823446
1201,203.70217641692273
6100,203.79169983064028
5306,203.87961855392012
6035,203.9874273324058
4417,204.11458102601384
5334,204.15344799250602
6186,204.77617895130308
4004,204.8720497613159
4813,204.89910248332822
2207,205.04799320033163
1397,205.07578139219805
3976,205.2213473821062
1992,205.3298881083265
3732,205.4418922424969
2794,205.46559284811983
4586,205.5281758740927
7933,205.67249626767423
618,205.6804905826664
3589,205.7179218302231
2292,205.72554330314097
5522,205.8183052600788
4975,206.16656921328277
3014,206.2652509189053
394,206.2915867716996
1000,206.58291799612644
5101,206.64931908204494
6217,206.6927279230123
4024,206.8077666555717
6210,206.94760997511028
7168,207.13983813264883
1182,207.1509396964106
6506,207.2141014843628
1935,207.32607918673162
2642,207.34090152864798
7533,207.38992252273908
6510,207.4179959575088
7373,207.429154308944
6974,207.45501998540277
4633,207.62942149384256
7519,207.78441351015906
4687,207.8449272165029
2391,207.85236305370913
2549,207.91384170536554
553,207.99068785038827
7902,208.07816464611915
2009,208.22410249470622
4973,208.30683482303974
421,208.54621483311678
1396,208.59711906931793
1611,208.74541210635277
866,208.88389021053501
4950,208.98123407209644
6897,209.19902885414498
3822,209.21488521176556
2662,209.24079530046248
3995,209.26523735072237
2230,209.26716494715734
7828,209.3450520627684
1705,209.37932918157685
4101,209.50189288107123
6786,209.52163822148827
4234,209.5219666559479
4482,209.52614170796224
3506,209.5388477846666
6860,209.6787373608845
5823,209.86247517960697
4756,209.90743104863793
7555,210.0879869095696
5498,210.10137468469887
3360,210.17716238703863
3288,210.20060656111477
7378,210.2296175466342
297,210.38777524187142
3469,210.42501228069267
1597,210.4294203309098
4183,210.53494436013344
4555,210.57075303498732
4991,210.86363936813734
4263,210.86699776737177
807,210.87485099797112
3968,210.91880479542587
4626,210.93303933744832
135,210.9531317902531
5457,210.96414091962328
4415,211.017051082131
7143,211.04567616966378
7360,211.05786675425227
2854,211.0893591651967
4152,211.09530736915957
3367,211.11210116690066
4733,211.144363085798
7677,211.19148991320387
7737,211.2552198136528
7546,211.2963132177682
265,211.45776799676577
6657,211.51854751145012
4249,211.5423185724025
7392,211.72596729716716
267,211.76795868618726
4740,211.7728812430991
352,211.7780012836674
7614,211.88457408800397
1098,211.90647888342724
1326,211.94348590676552
7212,211.97523707138535
3147,212.00921631608108
6289,212.08953109149894
7290,212.08965906631917
3067,212.09019139239496
5370,212.1071553898826
6462,212.1555076467982
4225,212.18535643064914
4116,212.2073063562272
151,212.20751630636747
825,212.24125326713985
6425,212.26903528515675
749,212.37589510944497
7138,212.3975863090682
6090,212.42352475431417
1699,212.5504790010242
7464,212.55344231358524
6432,212.6463813933995
4533,212.65055066834665
7648,212.69658831619077
5073,212.73392672061186
5060,212.77418259205842
7404,212.84859994720173
7328,212.8652491151794
3566,212.9500683940299
4115,212.9632006516559
5121,212.9872442023993
5065,213.03959105247804
6241,213.05882911358134
3771,213.06213931509373
2551,213.0627733514346
7291,213.13617232199553
7098,213.1844861773334
3122,213.22663091793288
1960,213.23872363085638
3636,213.2467332434144
5592,213.27465063087357
1018,213.28271066685775
1874,213.4456434220957
4720,213.51186314543241
7056,213.51466045027252
694,213.62131989021393
5847,213.63490252203655
3615,213.65530215514278
2197,213.67599262413486
2868,213.68896510697726
891,213.76277822319648
2137,213.76889104161768
415,213.77321423757678
6536,213.7842299112574
631,213.8031925979154
5709,213.83932337428044
4074,213.95987760658423
6076,213.97207320527372
203,214.0500576415186
1209,214.06125730183646
5816,214.1149743008144
3457,214.121485337375
5267,214.1722217850188
1704,214.21443379081413
4840,214.23397835965457
4015,214.24706502765417
7111,214.2809471058865
7245,214.37077775836957
1907,214.38928299710474
7504,214.41908836195057
2489,214.42183159344972
3440,214.42407010003058
1835,214.43520491047857
942,214.48567852381728
7521,214.63203481086512
5939,214.6863377169006
2621,214.70418557336822
359,214.70601437392028
4966,214.70823882585992
6361,214.71436516294222
4604,214.71861322200837
1527,214.72249777278344
4210,214.76714707919217
3182,214.76959245111806
4353,214.81021773665097
3447,214.93955287226458
4618,214.943994667659
2370,214.95472240307217
3818,214.9562324892256
573,214.95766277488462
5770,214.9797383132404
5527,214.9895168636695
2184,214.9938118586027
5402,215.0482034178398
1796,215.07319957077308
909,215.1442161390609
3029,215.16158756051183
1094,215.19873577366945
6073,215.22737970818665
2730,215.2434497449009
598,215.2532431680552
2609,215.2711424768588
964,215.28580089539133
5456,215.41398630275998
2600,215.42772074194565
4051,215.54007295151197
4195,215.62090295995642
1772,215.6218336996618
3932,215.710880997247
7094,215.7573338462365
1224,215.84060606856414
4245,215.851034720181
2183,215.90563789761518
996,215.9273111475906
5811,215.94385161135193
7179,215.98305305492255
6637,215.99234975629233
3622,216.06811314600478
4053,216.1093312227083
802,216.13961506226156
4986,216.19064612744594
7128,216.21886169909044
182,216.24232321829916
6431,216.25031071720633
4435,216.31653738147534
1451,216.35471377357578
1309,216.36667511678587
4665,216.37062394634575
4669,216.4037449860251
3221,216.41427888645526
5936,216.41885346969053
5283,216.4286801643834
4401,216.44489294227972
6464,216.45226563822817
5725,216.49287885970097
5466,216.538154470929
5647,216.6111018199882
310,216.65707086273417
3214,216.6665784619649
1845,216.69467437403478
7961,216.7003447975251
6560,216.7020121412607
5565,216.72988146758206
313,216.73519310137897
7213,216.7720661117725
2814,216.81613461426224
4599,216.83267207377793
7881,216.95211934864025
5852,216.9782137847836
152,217.02100332680055
2349,217.03825982443647
1775,217.0593497568088
3513,217.08287147686517
5501,217.08514271619913
209,217.12586053667542
6048,217.12616625731374
1719,217.13824687997962
2593,217.13908464753348
3531,217.15304033587282
4672,217.2085446193786
5810,217.2650909570429
3649,217.30201098828985
7005,217.31168880041722
528,217.34481570490036
7829,217.36123689144458
7598,217.4046050940761
5798,217.4250322508481
4790,217.48019659193776
2864,217.48025983910088
6104,217.5029578646506
2887,217.51286528873743
6789,217.52572428028236
3193,217.52667572641894
1401,217.57778223056397
732,217.6012020266017
2313,217.61389400402743
5568,217.62939414393756
5809,217.62975409796198
1938,217.63187018682797
7313,217.78768233446368
4931,217.81774076556687
1909,217.84605329848287
225,217.84617269463484
4787,217.9232325438673
734,217.94741098043315
1062,218.0331331471788
5827,218.04531302360024
3868,218.04551582555285
1983,218.07044098917763
4149,218.1015245237553
5426,218.11221950562035
4095,218.1820116436621
3799,218.262961224942
3843,218.26541520042682
4429,218.26688230081962
3450,218.2673932247211
4347,218.2759262613715
1713,218.28778473476498
7749,218.29029943056045
4797,218.2924880436231
3324,218.3051436251846
3817,218.3657663600665
821,218.40932124057358
103,218.41190341494686
5600,218.5179584213816
3765,218.58811762912396
1895,218.58848356257266
7032,218.5939173138682
2448,218.60713161783977
1219,218.60787879952304
5983,218.65366340276307
4510,218.69333738312324
1150,218.7126170443043
41,218.74142186730205
140,218.8221025791174
2444,218.8415273695433
3302,218.84456852540595
6338,218.84819413598441
1414,218.8646207102745
4631,218.8822371205386
333,218.89994790993086
3676,218.91859053262982
6359,218.93134890346613
2550,218.9329751550666
1258,218.97591932152287
4145,218.98788551331432
5050,219.01877829880542
2740,219.06174270537204
7666,219.07143236347076
7998,219.11108172929906
5551,219.12886989888221
3772,219.14445228921753
3696,219.14511261791833
5355,219.20149146567877
7689,219.20928042329393
7318,219.2342912214229
782,219.2457966517265
128,219.2590435617411
2705,219.26393652778592
98,219.27262232394142
6661,219.28308976555013
2341,219.28489786641336
3528,219.29558498949066
7869,219.29686468787185
3052,219.36312727923362
6819,219.37256008996263
1723,219.39507892497187
6290,219.43094939166153
7844,219.4320986673401
5458,219.43471688376897
6849,219.4808239193076
6940,219.4827118115345
6015,219.48728697529484
575,219.49380825909924
3170,219.49688342624236
3614,219.52848792467026
6735,219.54527545036112
4333,219.55391731046134
564,219.5611731191557
5800,219.57120813698918
4645,219.58683651839436
1968,219.61731422934548
7963,219.63453683127707
2038,219.64866316308587
2584,219.70299239147886
5177,219.76895724331266
315,219.78199391701682
4579,219.794063342816
4013,219.8388293511549
