#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,299.1564784817116,0,--
20.0%,500000,302.9205516259434,417,27:38
30.0%,750000,300.9822725213451,420,23:59
40.0%,1000000,300.5487204238284,420,20:34
50.0%,1250000,303.27364319539237,419,17:11
60.0%,1500000,298.0800755504091,419,13:45
70.0%,1750000,299.94629208760307,419,10:18
80.0%,2000000,298.0469661745603,419,6:52
90.0%,2250000,302.02893358280284,419,3:26
100.0%,2500000,300.91795708655224,419,0:00
