#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
120000,-729755.840127795,140833.984375,-588921.855752795,302.27503450129353,539.6787241914133,1.0335635693816485,134
121000,-728858.1004437627,139563.0,-589295.1004437627,299.547093177268,542.3818240083369,1.028412538555196,134
122000,-727525.380251403,140098.140625,-587427.239626403,300.6956771046686,536.632574217658,1.0394305066325904,134
123000,-726417.6745237578,139593.15625,-586824.5182737578,299.6118181905496,544.4270192955231,1.0245492026027339,134
124000,-727206.4233650193,140072.8125,-587133.6108650193,300.6413148007673,542.5014260224735,1.0281858106516837,134
125000,-726030.2480999297,140244.4375,-585785.8105999297,301.0096772597754,547.0211476611661,1.0196905016917501,134
126000,-725279.1419063695,141043.9375,-584235.2044063695,302.7256614460943,550.4904095721613,1.0132642799865033,134
127000,-726308.723704394,141206.625,-585102.098704394,303.07484115505207,546.9308163300252,1.019858914217831,134
128000,-726606.1983462619,140488.90625,-586117.2920962619,301.5343858389488,537.3919265744262,1.0379617573531965,134
129000,-728259.6932632336,139103.671875,-589156.0213882336,298.5612272625319,541.9435616972963,1.0292442016428407,134
130000,-729488.7382111242,140092.296875,-589396.4413361242,300.68313453732804,536.9475340869622,1.0388208029357917,134
131000,-725510.9717751481,139624.390625,-585886.5811501481,299.67885720689674,549.0967756522737,1.0158359932673222,134
132000,-725428.0293651987,139705.59375,-585722.4356151987,299.85314523488887,548.1079691819319,1.0176685978989388,134
133000,-724567.2463845201,140249.796875,-584317.4495095201,301.0211802025503,549.8285147730363,1.0144840682278227,134
134000,-723373.9618492816,139817.625,-583556.3368492816,300.093600336044,553.4030805251563,1.0079312676851924,134
135000,-726488.3907181453,140979.8125,-585508.5782181453,302.58802856811093,542.6219095212849,1.0279575127858551,134
136000,-726300.0481677623,140345.875,-585954.1731677623,301.22739476559116,543.9275169119792,1.025490072025306,134
137000,-728254.9700467428,140188.234375,-588066.7356717428,300.88904727388206,542.6058184719802,1.02798799700563,134
138000,-727783.777111914,140885.40625,-586898.370861914,302.3854023866354,541.5381885094794,1.0300146514687534,134
