#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,298.3681555996839,0,--
20.0%,500000,302.1262051777739,477,24:10
30.0%,750000,302.37301124703816,477,21:07
40.0%,1000000,304.2875035696442,478,18:05
50.0%,1250000,300.02955739349824,478,15:03
60.0%,1500000,302.9622315242725,478,12:02
70.0%,1750000,304.2411874096024,478,9:02
80.0%,2000000,300.1447652060384,478,6:01
90.0%,2250000,299.3624072386741,478,3:00
100.0%,2500000,301.36419056832176,478,0:00
