#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.9308050963282,0,--
20.0%,500000,297.55216566862845,452,25:29
30.0%,750000,306.31546123932316,451,22:19
40.0%,1000000,299.78799678245974,451,19:08
50.0%,1250000,303.396785071731,451,15:56
60.0%,1500000,301.50970674218956,451,12:46
70.0%,1750000,302.0228681093367,451,9:35
80.0%,2000000,302.5185948262802,450,6:23
90.0%,2250000,298.5418332859451,450,3:11
100.0%,2500000,303.12174680367724,451,0:00
