GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3991,487.34,1351.17,2026.75,-1341.3,-12385.47,627.42,8191.96,-2063.35,59.43,-1042.13,-2003.92,-3046.04
4001,481.0,1207.93,2036.24,-1371.9,-12598.75,635.27,8134.09,-1814.09,55.03,-1476.11,-1759.06,-3235.17
4011,512.23,1322.5,2016.77,-1373.91,-12474.87,619.75,8178.81,-1970.31,57.65,-1198.71,-1912.67,-3111.38
4021,541.94,1274.53,2025.96,-1360.55,-12488.98,629.66,8179.36,-1964.8,56.6,-1198.08,-1908.2,-3106.28
4031,499.64,1325.07,2000.37,-1363.52,-12524.77,630.46,8191.98,-1951.38,56.05,-1240.77,-1895.34,-3136.11
4041,507.02,1320.73,2012.99,-1376.55,-12478.03,636.07,8190.97,-1966.24,56.81,-1186.81,-1909.43,-3096.24
4051,472.13,1292.8,2026.12,-1348.49,-12447.99,620.75,8174.09,-1994.3,58.57,-1210.58,-1935.73,-3146.31
4061,496.04,1334.43,2024.66,-1376.49,-12591.75,628.52,8208.56,-1893.68,57.35,-1276.02,-1836.33,-3112.35
4071,526.7,1341.91,2020.87,-1343.48,-12494.2,605.6,8137.44,-1930.58,57.63,-1205.15,-1872.95,-3078.1
4081,525.3,1308.31,1996.91,-1352.02,-12459.11,631.7,8197.07,-1984.03,58.24,-1151.83,-1925.78,-3077.62
4091,530.26,1322.46,2010.28,-1382.58,-12430.01,620.69,8136.81,-1957.69,55.96,-1192.09,-1901.73,-3093.82
4101,492.25,1351.11,2033.06,-1379.64,-12558.89,612.54,8181.25,-1888.68,56.72,-1268.32,-1831.96,-3100.28
4111,484.68,1348.1,2041.51,-1358.61,-12526.3,621.78,8182.92,-1926.2,56.04,-1205.91,-1870.16,-3076.07
4121,501.59,1337.48,2053.13,-1357.75,-12536.2,598.27,8162.74,-1930.1,57.21,-1240.75,-1872.89,-3113.64
4131,506.37,1303.29,2035.06,-1360.78,-12540.81,644.09,8127.97,-1890.23,57.68,-1284.81,-1832.55,-3117.36
4141,503.81,1374.04,2029.4,-1332.11,-12569.71,638.03,8170.52,-1925.71,60.68,-1186.02,-1865.03,-3051.05
4151,516.15,1309.7,2027.92,-1341.59,-12423.25,618.22,8158.17,-2009.29,59.05,-1134.68,-1950.24,-3084.92
4161,530.71,1302.41,2017.45,-1381.6,-12509.08,613.6,8197.38,-1953.31,58.62,-1229.14,-1894.69,-3123.83
4171,510.48,1312.79,2012.32,-1327.36,-12523.88,621.73,8206.93,-1958.78,59.74,-1186.99,-1899.04,-3086.03
4181,499.98,1309.34,1992.99,-1368.81,-12495.82,622.41,8191.2,-1959.41,58.73,-1248.72,-1900.68,-3149.4
4191,513.43,1287.06,1985.47,-1335.27,-12437.32,609.05,8187.27,-2004.61,60.08,-1190.31,-1944.53,-3134.84
4201,514.06,1313.82,2013.7,-1356.16,-12469.42,627.12,8150.61,-1974.03,58.58,-1206.28,-1915.45,-3121.73
4211,500.59,1339.74,2029.11,-1335.54,-12507.29,628.37,8188.67,-1993.84,59.12,-1156.36,-1934.72,-3091.09
4221,496.01,1304.14,1982.08,-1337.89,-12456.76,615.8,8145.37,-1964.26,58.96,-1251.25,-1905.29,-3156.54
4231,465.32,1347.0,2037.22,-1360.97,-12472.63,636.32,8195.83,-2006.96,58.62,-1151.91,-1948.33,-3100.24
4241,468.59,1322.43,1994.34,-1357.98,-12379.35,631.5,8096.88,-1998.13,58.37,-1223.59,-1939.76,-3163.35
4251,517.97,1317.02,2000.41,-1362.32,-12447.96,619.15,8141.03,-1997.4,58.74,-1214.71,-1938.66,-3153.37
4261,495.16,1302.78,2026.1,-1361.61,-12386.83,623.44,8155.79,-2046.1,60.01,-1145.17,-1986.09,-3131.25
4271,513.93,1338.48,2027.34,-1339.28,-12415.54,633.59,8162.17,-2018.21,59.7,-1079.31,-1958.5,-3037.81
4281,536.65,1339.88,2004.33,-1318.17,-12458.39,600.67,8134.95,-1995.61,59.54,-1160.08,-1936.08,-3096.16
4291,523.15,1361.58,2022.1,-1388.13,-12394.55,623.67,8133.3,-1996.95,57.76,-1118.91,-1939.19,-3058.1
4301,493.57,1288.39,2020.8,-1360.16,-12445.83,627.75,8162.48,-1980.01,57.4,-1213.0,-1922.6,-3135.6
4311,507.76,1367.3,2036.21,-1367.71,-12376.01,622.79,8075.02,-1997.42,57.66,-1134.63,-1939.76,-3074.39
4321,494.41,1290.62,2017.43,-1383.7,-12405.56,614.71,8150.59,-2020.58,56.61,-1221.5,-1963.97,-3185.47
4331,528.25,1330.59,2018.52,-1383.94,-12343.91,603.94,8154.11,-2063.15,57.62,-1092.45,-2005.52,-3097.98
4341,485.25,1344.4,2013.57,-1343.9,-12363.14,611.2,8157.05,-2070.2,58.8,-1095.57,-2011.4,-3106.96
