#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.8030888874409,0,--
20.0%,500000,300.38547568728416,480,24:00
30.0%,750000,299.72079642232904,480,20:59
40.0%,1000000,300.5021015845016,480,17:59
50.0%,1250000,301.02828074171885,480,15:00
60.0%,1500000,301.31162078151806,480,11:59
70.0%,1750000,300.12227872419015,480,8:59
80.0%,2000000,296.1670204701577,480,6:00
90.0%,2250000,302.7242710160903,480,3:00
100.0%,2500000,302.068590973455,479,0:00
