#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.7946780922567,0,--
20.0%,500000,299.40241571373423,463,24:53
30.0%,750000,300.67046922117004,448,22:28
40.0%,1000000,303.1889838519142,453,19:05
50.0%,1250000,301.64255685456754,458,15:43
60.0%,1500000,301.51941629110036,457,12:36
70.0%,1750000,300.834809563684,457,9:27
80.0%,2000000,300.82728727213066,457,6:18
90.0%,2250000,302.50941733911606,457,3:08
100.0%,2500000,297.3198781648329,458,0:00
