#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2700,1.3499999999999068,-8823511.17087361,13674.4972211821,-8809836.67365243,320.9726746324716,52.53369457416603,0.9619034631162849,1.26
2800,1.3999999999999013,-8823223.477697589,13647.974385066103,-8809575.503312523,320.35012116602286,52.79186498662286,0.957199423698861,1.26
2900,1.4499999999998958,-8823162.327537045,13952.878658082802,-8809209.448878963,327.50694298068106,52.536921510007446,0.9618443808428684,1.27
3000,1.4999999999998903,-8822801.516359683,13826.338860493153,-8808975.17749919,324.5367557319034,52.39907638873348,0.964374684131811,1.27
3100,1.5499999999998848,-8822814.357623339,14222.92142797634,-8808591.436195362,333.8454831636156,52.57184930045323,0.9612053487482669,1.28
3200,1.5999999999998793,-8822632.029979235,14291.142482378287,-8808340.887496857,335.4467920778272,52.71333293388866,0.9586254544852911,1.27
3300,1.6499999999998738,-8822562.703672891,14468.14444379881,-8808094.559229093,339.6014452291207,52.71333293388866,0.9586254544852911,1.27
3400,1.6999999999998683,-8822196.025144046,14383.650148139335,-8807812.374995906,337.61816499363255,52.88006726789289,0.9556028453062337,1.27
3500,1.7499999999998628,-8821818.382831302,14278.222526017576,-8807540.160305284,335.1435302553151,52.812401550275176,0.9568272083419427,1.27
3600,1.7999999999998573,-8821575.344939472,14274.726917957421,-8807300.618021514,335.06148009651315,52.68933316347826,0.9590621043617629,1.26
3700,1.8499999999998518,-8821551.134588227,14400.536253354308,-8807150.598334873,338.01452167624456,52.84219611008792,0.9562877105998351,1.26
3800,1.8999999999998463,-8821326.20064305,14251.980960674467,-8807074.219682375,334.5275788767392,52.67735011310072,0.9592802719325896,1.27
3900,1.9499999999998407,-8821207.337547442,14499.850047077984,-8806707.487500364,340.3456504544206,52.628726884302516,0.9601665427376258,1.27
4000,1.9999999999998352,-8821021.780831845,14536.726568381302,-8806485.054263465,341.2112293113553,52.89671881385077,0.9553020276931018,1.27
4100,2.049999999999852,-8821321.365115108,15010.180743895471,-8806311.184371212,352.32431453655073,52.89671881385077,0.9553020276931018,1.27
4200,2.0999999999998686,-8820991.97476893,15032.777107800823,-8805959.197661128,352.8547044472258,53.101370708466376,0.9516203078563225,1.27
