#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,298.00908155986485,0,--
20.0%,500000,302.46438350231364,473,24:22
30.0%,750000,300.86446960139375,472,21:22
40.0%,1000000,299.7006164888593,471,18:20
50.0%,1250000,302.4309876140522,471,15:16
60.0%,1500000,301.6341781701218,471,12:13
70.0%,1750000,299.99181643829553,468,9:13
80.0%,2000000,298.3502785789986,464,6:12
90.0%,2250000,299.89711135489773,459,3:08
100.0%,2500000,299.0489666994314,457,0:00
