#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,301.7767636052887,0,--
20.0%,500000,298.4359186261779,423,27:13
30.0%,750000,301.15499306850097,421,23:57
40.0%,1000000,300.0931486923852,420,20:34
50.0%,1250000,298.62962095932636,421,17:06
60.0%,1500000,302.2497927510414,421,13:40
70.0%,1750000,298.6596407345728,422,10:14
80.0%,2000000,297.3534504507237,422,6:49
90.0%,2250000,298.82127890527113,423,3:24
100.0%,2500000,300.9653736428892,423,0:00
