#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,298.31737580957497,0,--
20.0%,500000,301.6158306071187,440,26:09
30.0%,750000,299.1890874931877,440,22:55
40.0%,1000000,302.7580572116737,439,19:40
50.0%,1250000,302.2226203055615,439,16:24
60.0%,1500000,301.97059679134094,439,13:06
70.0%,1750000,300.83543568275974,438,9:52
80.0%,2000000,301.60839490526547,438,6:34
90.0%,2250000,301.1516516462359,439,3:16
100.0%,2500000,300.16538277344034,440,0:00
