time,Potential Energy (kJ/mole)
2820.000000,-340478.281250
2830.000000,-339583.187500
2840.000000,-339948.062500
2850.000000,-340705.093750
2860.000000,-339759.906250
2870.000000,-340779.781250
2880.000000,-340277.156250
2890.000000,-340645.531250
2900.000000,-340752.125000
2910.000000,-339157.093750
2920.000000,-340797.656250
2930.000000,-340896.843750
2940.000000,-338782.250000
2950.000000,-339452.562500
2960.000000,-338842.406250
2970.000000,-339954.687500
2980.000000,-338992.031250
2990.000000,-341238.375000
3000.000000,-338077.062500
3010.000000,-340433.125000
3020.000000,-340103.750000
3030.000000,-340263.093750
3040.000000,-339136.968750
3050.000000,-339547.875000
3060.000000,-339951.187500
3070.000000,-338695.906250
3080.000000,-338948.812500
3090.000000,-339935.531250
3100.000000,-340017.656250
3110.000000,-340191.750000
3120.000000,-341120.343750
3130.000000,-340480.968750
3140.000000,-340563.250000
3150.000000,-339831.562500
3160.000000,-338996.343750
3170.000000,-340085.093750
3180.000000,-340103.000000
3190.000000,-340079.250000
3200.000000,-339397.250000
3210.000000,-339463.875000
3220.000000,-340380.312500
3230.000000,-339275.437500
3240.000000,-340130.687500
3250.000000,-341517.937500
3260.000000,-341213.156250
3270.000000,-340384.500000
3280.000000,-340209.281250
3290.000000,-338945.437500
3300.000000,-339986.218750
3310.000000,-340258.875000
3320.000000,-340419.187500
3330.000000,-339667.781250
3340.000000,-340774.812500
3350.000000,-339062.468750
3360.000000,-340116.218750
3370.000000,-339455.375000
3380.000000,-339844.468750
3390.000000,-339013.343750
3400.000000,-339486.031250
3410.000000,-339639.281250
3420.000000,-338653.125000
3430.000000,-340367.937500
3440.000000,-341235.843750
3450.000000,-339995.968750
3460.000000,-341132.500000
3470.000000,-339490.218750
3480.000000,-339371.312500
3490.000000,-339756.062500
3500.000000,-340250.875000
3510.000000,-339835.125000
3520.000000,-340586.375000
3530.000000,-341632.312500
3540.000000,-341203.687500
3550.000000,-340775.000000
3560.000000,-340809.343750
3570.000000,-338876.312500
3580.000000,-340441.000000
3590.000000,-341167.843750
3600.000000,-339342.656250
3610.000000,-340618.406250
3620.000000,-340639.343750
3630.000000,-340272.656250
3640.000000,-340355.062500
3650.000000,-340950.687500
3660.000000,-340250.968750
3670.000000,-338585.937500
3680.000000,-340151.656250
3690.000000,-340493.031250
3700.000000,-340165.343750
3710.000000,-340650.687500
3720.000000,-340549.875000
3730.000000,-340118.968750
3740.000000,-339607.312500
3750.000000,-338969.250000
3760.000000,-340873.437500
3770.000000,-339018.500000
3780.000000,-340666.812500
3790.000000,-339870.687500
3800.000000,-340072.125000
3810.000000,-339168.906250
3820.000000,-341292.781250
3830.000000,-341591.875000
3840.000000,-338373.375000
3850.000000,-340119.750000
3860.000000,-339673.250000
3870.000000,-339868.562500
3880.000000,-340048.312500
3890.000000,-340945.781250
3900.000000,-339471.125000
3910.000000,-340887.218750
3920.000000,-340547.375000
3930.000000,-340060.406250
3940.000000,-339804.031250
3950.000000,-339184.437500
3960.000000,-339052.218750
3970.000000,-341289.093750
3980.000000,-339479.781250
3990.000000,-338443.437500
4000.000000,-340411.781250
4010.000000,-338431.937500
4020.000000,-340095.843750
4030.000000,-340873.218750
4040.000000,-338822.000000
4050.000000,-340676.250000
4060.000000,-341013.187500
4070.000000,-340929.375000
4080.000000,-339340.875000
4090.000000,-339808.343750
4100.000000,-340051.218750
4110.000000,-340397.250000
4120.000000,-341076.343750
4130.000000,-340475.875000
4140.000000,-339989.437500
4150.000000,-340077.656250
4160.000000,-341526.218750
4170.000000,-340450.906250
4180.000000,-338965.625000
4190.000000,-339829.281250
4200.000000,-340226.000000
4210.000000,-338217.718750
4220.000000,-340770.812500
4230.000000,-339526.437500
4240.000000,-340191.250000
4250.000000,-340348.000000
4260.000000,-339761.468750
4270.000000,-339457.218750
4280.000000,-340401.500000
4290.000000,-341290.093750
4300.000000,-340271.250000
4310.000000,-340863.812500
4320.000000,-341691.687500
4330.000000,-339660.156250
4340.000000,-339481.968750
4350.000000,-339561.906250
4360.000000,-340349.187500
4370.000000,-339966.875000
4380.000000,-339289.312500
4390.000000,-340903.281250
4400.000000,-339597.625000
4410.000000,-340921.468750
4420.000000,-339119.875000
4430.000000,-339980.375000
4440.000000,-340732.125000
4450.000000,-339976.000000
4460.000000,-341198.281250
4470.000000,-338970.218750
4480.000000,-340009.468750
4490.000000,-337409.843750
4500.000000,-339611.125000
4510.000000,-339562.812500
4520.000000,-339591.531250
4530.000000,-341073.000000
4540.000000,-340007.875000
4550.000000,-341087.968750
4560.000000,-340046.031250
4570.000000,-340531.281250
4580.000000,-340252.781250
4590.000000,-339842.562500
4600.000000,-340567.562500
4610.000000,-339860.125000
4620.000000,-341313.187500
4630.000000,-340159.500000
4640.000000,-340509.343750
4650.000000,-340200.968750
4660.000000,-339478.937500
4670.000000,-340109.875000
4680.000000,-339835.437500
4690.000000,-338765.781250
4700.000000,-340794.343750
4710.000000,-340815.000000
4720.000000,-340215.406250
4730.000000,-339156.125000
4740.000000,-340130.125000
4750.000000,-341006.250000
4760.000000,-339366.000000
4770.000000,-338789.593750
4780.000000,-340394.875000
4790.000000,-340038.937500
4800.000000,-339425.218750
4810.000000,-339714.593750
4820.000000,-340571.718750
4830.000000,-341147.343750
4840.000000,-339345.937500
4850.000000,-340469.281250
4860.000000,-340721.062500
4870.000000,-339986.375000
4880.000000,-340930.781250
4890.000000,-338412.750000
4900.000000,-339402.156250
4910.000000,-340460.593750
4920.000000,-340954.031250
4930.000000,-340014.062500
4940.000000,-339625.625000
4950.000000,-340896.062500
4960.000000,-339962.500000
4970.000000,-340112.562500
4980.000000,-340941.187500
4990.000000,-340951.406250
5000.000000,-340222.468750
5010.000000,-340991.375000
5020.000000,-339236.718750
5030.000000,-339933.281250
5040.000000,-339424.750000
5050.000000,-339968.093750
5060.000000,-340107.718750
5070.000000,-339461.562500
5080.000000,-340266.062500
5090.000000,-339914.843750
5100.000000,-339583.781250
5110.000000,-339482.406250
5120.000000,-340025.625000
5130.000000,-340285.906250
5140.000000,-339734.812500
5150.000000,-339705.218750
5160.000000,-341120.531250
5170.000000,-339313.906250
5180.000000,-339753.875000
5190.000000,-340573.625000
5200.000000,-340711.687500
5210.000000,-340186.812500
5220.000000,-339977.250000
5230.000000,-339479.500000
5240.000000,-340333.625000
5250.000000,-340488.406250
5260.000000,-339139.625000
5270.000000,-340349.593750
5280.000000,-340778.031250
5290.000000,-339373.968750
5300.000000,-340110.531250
5310.000000,-341396.000000
5320.000000,-340062.406250
5330.000000,-339079.687500
5340.000000,-340307.312500
5350.000000,-340411.937500
5360.000000,-340786.312500
5370.000000,-339702.750000
5380.000000,-339757.500000
5390.000000,-340723.875000
5400.000000,-340437.968750
5410.000000,-339588.718750
5420.000000,-340055.562500
5430.000000,-338884.312500
5440.000000,-340415.437500
5450.000000,-340451.312500
5460.000000,-340569.968750
5470.000000,-340859.343750
5480.000000,-339540.406250
5490.000000,-340505.718750
5500.000000,-339277.281250
5510.000000,-339706.187500
5520.000000,-340362.156250
5530.000000,-341410.218750
5540.000000,-339034.562500
5550.000000,-339712.906250
5560.000000,-340066.406250
5570.000000,-341183.937500
5580.000000,-338989.687500
5590.000000,-340178.218750
5600.000000,-339161.125000
5610.000000,-341044.781250
5620.000000,-340926.812500
5630.000000,-340666.687500
5640.000000,-340472.156250
5650.000000,-340994.125000
5660.000000,-340934.375000
5670.000000,-341161.562500
5680.000000,-340817.281250
5690.000000,-339616.875000
5700.000000,-340174.093750
5710.000000,-340347.593750
5720.000000,-340953.531250
5730.000000,-339851.125000
5740.000000,-340186.406250
5750.000000,-338536.031250
5760.000000,-339495.437500
5770.000000,-339599.000000
5780.000000,-339255.156250
5790.000000,-340926.687500
5800.000000,-340188.437500
5810.000000,-339282.750000
5820.000000,-340519.156250
5830.000000,-340066.062500
5840.000000,-338729.156250
5850.000000,-339958.843750
5860.000000,-340082.125000
5870.000000,-339232.968750
5880.000000,-340063.906250
5890.000000,-340226.375000
5900.000000,-340549.906250
5910.000000,-339537.625000
5920.000000,-338958.968750
5930.000000,-339967.000000
5940.000000,-340997.562500
5950.000000,-339626.343750
5960.000000,-340061.500000
5970.000000,-338988.406250
5980.000000,-340276.343750
5990.000000,-340154.750000
6000.000000,-340249.625000
6010.000000,-339295.500000
6020.000000,-338276.531250
6030.000000,-339670.750000
6040.000000,-340719.218750
6050.000000,-340632.187500
6060.000000,-340650.718750
6070.000000,-339111.656250
6080.000000,-339346.187500
6090.000000,-340291.718750
6100.000000,-339800.937500
6110.000000,-340426.593750
6120.000000,-339574.718750
6130.000000,-338627.968750
6140.000000,-339861.656250
6150.000000,-339942.562500
6160.000000,-340600.625000
6170.000000,-339812.562500
6180.000000,-339707.781250
6190.000000,-339629.500000
6200.000000,-341120.781250
6210.000000,-340371.875000
6220.000000,-338375.937500
6230.000000,-339204.718750
6240.000000,-341051.531250
6250.000000,-339896.750000
6260.000000,-339486.187500
6270.000000,-340698.343750
6280.000000,-341402.031250
6290.000000,-339477.156250
6300.000000,-341287.687500
6310.000000,-340964.312500
6320.000000,-339723.437500
6330.000000,-341261.156250
6340.000000,-340155.218750
6350.000000,-340795.093750
6360.000000,-339731.781250
6370.000000,-340510.781250
6380.000000,-341001.718750
6390.000000,-339979.593750
6400.000000,-339570.281250
6410.000000,-340109.125000
6420.000000,-339487.750000
6430.000000,-340392.375000
6440.000000,-339860.468750
6450.000000,-341424.750000
6460.000000,-339167.531250
6470.000000,-340468.250000
6480.000000,-340365.437500
6490.000000,-340311.437500
6500.000000,-340127.000000
6510.000000,-340697.875000
6520.000000,-338672.000000
6530.000000,-341370.375000
6540.000000,-339056.937500
6550.000000,-340154.125000
6560.000000,-339989.781250
6570.000000,-340940.406250
6580.000000,-339557.281250
6590.000000,-339248.968750
6600.000000,-339592.281250
6610.000000,-339829.343750
6620.000000,-340642.218750
6630.000000,-339554.093750
6640.000000,-339451.812500
6650.000000,-339672.375000
6660.000000,-340513.343750
6670.000000,-338717.250000
6680.000000,-340329.437500
6690.000000,-341588.312500
6700.000000,-338577.562500
6710.000000,-340761.406250
6720.000000,-339497.406250
6730.000000,-339276.218750
6740.000000,-340890.156250
6750.000000,-341036.718750
6760.000000,-339853.031250
6770.000000,-340320.000000
6780.000000,-340539.812500
6790.000000,-339865.156250
6800.000000,-339109.437500
6810.000000,-340302.875000
6820.000000,-339237.906250
6830.000000,-339278.125000
6840.000000,-340317.593750
6850.000000,-339737.218750
6860.000000,-339548.156250
6870.000000,-340126.968750
6880.000000,-340049.093750
6890.000000,-340775.687500
6900.000000,-339931.031250
6910.000000,-340272.468750
6920.000000,-339877.906250
6930.000000,-339273.125000
6940.000000,-339877.031250
6950.000000,-340734.687500
6960.000000,-339679.375000
6970.000000,-339855.562500
6980.000000,-339355.093750
6990.000000,-339733.500000
7000.000000,-340623.781250
7010.000000,-339755.343750
7020.000000,-340850.156250
7030.000000,-340361.531250
7040.000000,-339503.375000
7050.000000,-340152.312500
7060.000000,-340952.656250
7070.000000,-340357.718750
7080.000000,-339537.281250
7090.000000,-339325.593750
7100.000000,-340371.968750
7110.000000,-340543.687500
7120.000000,-339851.093750
7130.000000,-340114.250000
7140.000000,-339725.468750
7150.000000,-340258.656250
7160.000000,-340530.906250
7170.000000,-340621.218750
7180.000000,-339183.531250
7190.000000,-339064.406250
7200.000000,-338888.843750
7210.000000,-338524.875000
7220.000000,-341301.750000
7230.000000,-339840.593750
7240.000000,-340298.593750
7250.000000,-340690.937500
7260.000000,-340004.312500
7270.000000,-339394.750000
7280.000000,-340243.812500
7290.000000,-340169.687500
7300.000000,-340406.250000
7310.000000,-340268.562500
7320.000000,-337840.000000
7330.000000,-340543.000000
7340.000000,-340335.000000
7350.000000,-340796.625000
7360.000000,-340454.781250
7370.000000,-340689.375000
7380.000000,-339595.437500
7390.000000,-339690.031250
7400.000000,-340261.406250
7410.000000,-341118.562500
7420.000000,-341022.250000
7430.000000,-338776.781250
7440.000000,-340830.031250
7450.000000,-340200.562500
7460.000000,-340261.812500
7470.000000,-338606.468750
7480.000000,-340242.406250
7490.000000,-339865.031250
7500.000000,-339370.875000
7510.000000,-341163.625000
7520.000000,-341442.656250
7530.000000,-340302.406250
7540.000000,-341096.593750
7550.000000,-339291.625000
7560.000000,-340162.375000
7570.000000,-340306.468750
7580.000000,-341421.500000
7590.000000,-340451.125000
7600.000000,-340851.281250
7610.000000,-340307.281250
7620.000000,-339804.562500
7630.000000,-340165.125000
7640.000000,-340923.718750
7650.000000,-340656.125000
7660.000000,-340146.906250
7670.000000,-339292.156250
7680.000000,-339852.781250
7690.000000,-341021.531250
7700.000000,-340112.968750
7710.000000,-340616.468750
7720.000000,-339689.968750
7730.000000,-340487.500000
7740.000000,-340477.875000
7750.000000,-340292.187500
7760.000000,-339622.156250
7770.000000,-340156.343750
7780.000000,-340283.031250
7790.000000,-339911.093750
7800.000000,-340452.937500
7810.000000,-339899.375000
7820.000000,-339558.625000
7830.000000,-339876.375000
7840.000000,-339579.906250
7850.000000,-340124.562500
7860.000000,-340890.812500
7870.000000,-341229.906250
7880.000000,-339808.218750
7890.000000,-339434.000000
7900.000000,-340293.312500
7910.000000,-341109.125000
7920.000000,-340074.031250
7930.000000,-340693.687500
7940.000000,-340309.750000
7950.000000,-339674.062500
7960.000000,-339708.562500
7970.000000,-340152.156250
7980.000000,-340188.562500
7990.000000,-341015.718750
8000.000000,-340191.531250
8010.000000,-340371.687500
8020.000000,-339534.031250
8030.000000,-339576.031250
8040.000000,-340053.156250
8050.000000,-339292.437500
8060.000000,-340177.468750
8070.000000,-338997.531250
8080.000000,-339539.625000
8090.000000,-339568.156250
8100.000000,-340259.250000
8110.000000,-338438.625000
8120.000000,-341007.406250
8130.000000,-339248.906250
8140.000000,-338749.531250
8150.000000,-339968.156250
8160.000000,-341072.937500
8170.000000,-338098.531250
8180.000000,-339254.125000
8190.000000,-340217.937500
8200.000000,-340337.906250
8210.000000,-339827.281250
8220.000000,-340277.562500
8230.000000,-340796.000000
8240.000000,-339767.843750
8250.000000,-338153.812500
8260.000000,-341042.312500
8270.000000,-339917.843750
8280.000000,-338046.812500
8290.000000,-339405.781250
8300.000000,-339247.500000
8310.000000,-339421.093750
8320.000000,-340319.968750
8330.000000,-339211.812500
8340.000000,-339997.281250
8350.000000,-340977.000000
8360.000000,-340587.843750
8370.000000,-340429.718750
8380.000000,-339879.593750
8390.000000,-340283.750000
8400.000000,-339511.125000
8410.000000,-340106.781250
8420.000000,-340936.562500
8430.000000,-339721.406250
8440.000000,-339753.968750
8450.000000,-340024.156250
8460.000000,-340052.687500
8470.000000,-339556.312500
8480.000000,-339032.250000
8490.000000,-340865.500000
8500.000000,-340118.875000
8510.000000,-339085.687500
8520.000000,-339220.937500
8530.000000,-340779.218750
8540.000000,-340146.562500
8550.000000,-339366.031250
8560.000000,-338901.968750
8570.000000,-340703.937500
8580.000000,-340026.843750
8590.000000,-339156.000000
8600.000000,-340127.531250
8610.000000,-338882.906250
8620.000000,-339742.718750
8630.000000,-340633.656250
8640.000000,-340257.375000
8650.000000,-339891.812500
8660.000000,-340169.156250
8670.000000,-340253.718750
8680.000000,-339790.500000
8690.000000,-340060.312500
8700.000000,-338445.343750
8710.000000,-340139.562500
8720.000000,-340921.968750
8730.000000,-340052.281250
8740.000000,-340223.375000
8750.000000,-340635.718750
8760.000000,-339054.156250
8770.000000,-339983.343750
8780.000000,-340240.343750
8790.000000,-338335.218750
8800.000000,-339398.031250
8810.000000,-338812.062500
8820.000000,-340800.718750
8830.000000,-338406.625000
8840.000000,-338995.437500
8850.000000,-339778.843750
8860.000000,-341401.781250
8870.000000,-339554.312500
8880.000000,-338830.875000
8890.000000,-339730.281250
8900.000000,-339718.031250
8910.000000,-337841.062500
8920.000000,-340220.562500
8930.000000,-340402.937500
8940.000000,-340136.750000
8950.000000,-340304.531250
8960.000000,-339950.312500
8970.000000,-339345.875000
8980.000000,-340405.562500
8990.000000,-340424.343750
9000.000000,-338965.343750
9010.000000,-340261.093750
9020.000000,-339543.937500
9030.000000,-338602.562500
9040.000000,-340301.218750
9050.000000,-340525.718750
9060.000000,-339527.250000
9070.000000,-340862.687500
9080.000000,-338814.375000
9090.000000,-340448.843750
9100.000000,-339042.843750
9110.000000,-338973.468750
9120.000000,-338747.937500
9130.000000,-340983.000000
9140.000000,-339575.250000
9150.000000,-340161.812500
9160.000000,-339114.000000
9170.000000,-340152.468750
9180.000000,-339619.781250
9190.000000,-339806.218750
9200.000000,-339852.437500
9210.000000,-340148.750000
9220.000000,-341069.531250
9230.000000,-341301.250000
9240.000000,-340871.968750
9250.000000,-340568.468750
9260.000000,-340560.500000
9270.000000,-339988.562500
9280.000000,-339806.500000
9290.000000,-340321.593750
9300.000000,-338580.093750
9310.000000,-340551.437500
9320.000000,-340127.937500
9330.000000,-340853.375000
9340.000000,-341123.093750
9350.000000,-340929.500000
9360.000000,-339527.562500
9370.000000,-341129.937500
9380.000000,-340974.531250
9390.000000,-340413.656250
9400.000000,-338557.343750
9410.000000,-340060.156250
9420.000000,-339775.968750
9430.000000,-340645.343750
9440.000000,-340839.218750
9450.000000,-339653.468750
9460.000000,-340761.343750
9470.000000,-340528.031250
9480.000000,-339594.500000
9490.000000,-339831.000000
9500.000000,-340947.781250
9510.000000,-339972.125000
9520.000000,-338790.687500
9530.000000,-340399.781250
9540.000000,-340163.937500
9550.000000,-340299.437500
9560.000000,-340014.125000
9570.000000,-341156.656250
9580.000000,-340072.281250
9590.000000,-338801.000000
9600.000000,-338208.125000
9610.000000,-340472.843750
9620.000000,-339537.343750
9630.000000,-339264.187500
9640.000000,-340265.000000
9650.000000,-338247.687500
9660.000000,-339724.000000
9670.000000,-339323.468750
9680.000000,-341326.468750
9690.000000,-340847.937500
9700.000000,-339254.593750
9710.000000,-339481.531250
9720.000000,-339984.718750
9730.000000,-338971.875000
9740.000000,-340219.937500
9750.000000,-339883.593750
9760.000000,-339827.625000
9770.000000,-340400.375000
9780.000000,-339647.968750
9790.000000,-340104.312500
9800.000000,-340300.812500
9810.000000,-339512.031250
9820.000000,-340778.062500
9830.000000,-340038.625000
9840.000000,-340780.718750
9850.000000,-340873.312500
9860.000000,-339919.625000
9870.000000,-340156.781250
9880.000000,-340998.843750
9890.000000,-340858.031250
9900.000000,-339449.406250
9910.000000,-338995.343750
9920.000000,-340321.843750
9930.000000,-338945.531250
9940.000000,-340153.281250
9950.000000,-338882.531250
9960.000000,-340216.625000
9970.000000,-339585.218750
9980.000000,-342420.687500
9990.000000,-340305.562500
10000.000000,-340720.156250
