GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2921,524.65,1297.82,1999.71,-1335.93,-12531.94,624.85,8190.12,-1924.28,57.34,-1230.72,-1866.94,-3097.66
2931,494.29,1302.81,2023.7,-1355.77,-12490.97,634.61,8204.92,-1961.18,56.54,-1186.42,-1904.64,-3091.07
2941,516.98,1328.49,2012.75,-1349.54,-12416.22,604.7,8145.24,-1988.09,56.54,-1157.59,-1931.55,-3089.15
2951,537.55,1331.21,1994.67,-1351.41,-12516.55,616.26,8142.67,-1921.75,57.87,-1245.6,-1863.89,-3109.49
2961,496.26,1306.9,2007.17,-1348.28,-12395.85,622.89,8155.2,-1985.78,57.23,-1155.7,-1928.55,-3084.25
2971,511.54,1316.92,1976.64,-1367.17,-12446.31,617.07,8155.5,-1956.94,58.34,-1235.82,-1898.6,-3134.42
2981,552.01,1355.99,1989.56,-1369.6,-12418.86,613.48,8131.47,-1961.14,57.69,-1145.95,-1903.45,-3049.4
2991,531.97,1283.25,2029.25,-1361.37,-12411.56,619.69,8121.78,-1962.86,57.08,-1186.98,-1905.78,-3092.76
3001,530.0,1340.38,2016.47,-1358.33,-12509.02,631.64,8149.34,-1906.64,57.21,-1199.53,-1849.43,-3048.96
3011,528.17,1291.38,2003.76,-1374.43,-12501.89,615.83,8124.61,-1918.83,57.16,-1312.57,-1861.67,-3174.25
3021,533.73,1311.08,2002.31,-1361.02,-12567.11,615.43,8151.28,-1889.2,56.62,-1314.28,-1832.59,-3146.87
3031,532.64,1271.33,2049.28,-1364.54,-12585.19,614.36,8170.71,-1864.27,56.57,-1311.41,-1807.7,-3119.12
3041,556.98,1321.0,2018.22,-1369.66,-12489.18,626.04,8103.35,-1908.44,57.65,-1233.26,-1850.79,-3084.04
3051,503.36,1291.89,2030.71,-1366.56,-12412.58,609.49,8143.7,-1998.17,58.72,-1199.99,-1939.46,-3139.45
3061,541.59,1280.59,2033.31,-1373.37,-12430.99,611.16,8104.27,-1949.43,58.33,-1233.45,-1891.09,-3124.54
3071,517.95,1352.27,2021.07,-1344.62,-12508.69,627.19,8143.38,-1933.23,57.92,-1191.45,-1875.32,-3066.77
3081,551.6,1339.62,1979.86,-1323.16,-12464.75,639.4,8111.14,-1944.81,59.44,-1166.28,-1885.37,-3051.66
3091,523.75,1302.51,1990.35,-1344.84,-12506.6,633.03,8146.71,-1925.1,57.21,-1255.1,-1867.89,-3122.98
3101,524.69,1324.83,2014.51,-1345.52,-12454.12,621.48,8134.39,-1969.97,59.73,-1179.75,-1910.25,-3090.0
3111,533.61,1310.58,2019.96,-1346.25,-12401.84,621.17,8119.91,-2026.84,61.33,-1142.86,-1965.52,-3108.38
3121,536.68,1328.11,2023.12,-1352.22,-12522.51,620.32,8177.28,-1942.72,60.67,-1189.23,-1882.05,-3071.28
