#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,300.13020637670274,0,--
20.0%,500000,298.95998868263734,460,25:02
30.0%,750000,302.1103084809722,457,22:03
40.0%,1000000,301.10531601241246,458,18:51
50.0%,1250000,299.86868277727774,459,15:41
60.0%,1500000,301.86092082747564,460,12:30
70.0%,1750000,297.7843024885768,461,9:22
80.0%,2000000,299.0503694063342,461,6:14
90.0%,2250000,299.41545378147055,461,3:07
100.0%,2500000,300.1190417299797,462,0:00
