#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,302.0946114350028,0,--
20.0%,500000,301.4046839088145,450,25:35
30.0%,750000,299.6779676425499,451,22:22
40.0%,1000000,299.92646605517183,451,19:09
50.0%,1250000,301.1969522263255,451,15:58
60.0%,1500000,303.5165188326843,450,12:47
70.0%,1750000,302.4230219199483,450,9:35
80.0%,2000000,297.9965227225315,450,6:23
90.0%,2250000,302.3378318863311,450,3:11
100.0%,2500000,299.209606868552,450,0:00
