#"Progress (%)","Step","Temperature (K)","Speed (ns/day)","Time Remaining"
10.0%,250000,298.8051354585301,0,--
20.0%,500000,299.8268924055797,418,27:31
30.0%,750000,301.8985812631664,418,24:06
40.0%,1000000,300.40255667803757,418,20:38
50.0%,1250000,297.7788713502001,418,17:12
60.0%,1500000,299.3648144744704,418,13:46
70.0%,1750000,301.40128951629015,417,10:21
80.0%,2000000,300.7124087669576,416,6:55
90.0%,2250000,301.1039054949374,415,3:28
100.0%,2500000,299.61655255633974,415,0:00
